DateTime,AddedIPs,RemovedIPs
1613842602,6,1
1613844760,0,5
1613845566,0,1
1613846923,20,0
1613848364,13,12
1613852681,0,11
1613853403,0,1
1613854143,29,0
1613855558,0,15
1613858448,6,0
1613861320,21,10
1613862777,3,16
1613867653,0,8
1613869930,26,0
1613871524,1,21
1613875211,0,12
1613875925,47,38
1613877398,13,0
1613882439,0,20
1613883071,42,0
1613884600,10,0
1613887732,0,21
1613889851,18,9
1613892727,7,0
1613893633,0,10
1613897563,17,0
1613899029,3,5
1613900442,0,14
1613903322,0,7
1613905750,21,0
1613907164,7,0
1613910770,0,12
1613911730,14,4
1613914119,6,0
1613916423,0,7
1613918442,0,1
1613919159,18,9
1613920571,6,0
1613926360,7,20
1613927813,20,10
1613931401,1,0
1613934522,19,10
1613935238,12,0
1613936682,9,11
1613939081,0,9
1613939805,13,0
1613941256,11,7
1613943403,3,14
1613950151,28,22
1613954004,3,0
1613956125,0,28
1613957806,34,0
1613959961,1,6
1613961647,0,52
1613963802,51,0
1613966693,9,0
1613970314,0,9
1613971003,42,0
1613971724,11,29
1613977722,18,11
1613979163,2,14
1613984929,0,4
1613985641,14,9
1613987084,1,0
1613992123,20,5
1613996477,0,9
1614000765,43,7
1614004602,0,24
1614006764,23,8
1614007487,3,0
1614008955,0,3
1614014166,0,11
1614014887,22,0
1614015634,2,0
1614018731,0,19
1614020172,0,10
1614022326,29,0
1614024766,2,11
1614025479,0,3
1614026927,0,2
1614029115,24,0
1614030521,7,6
1614032680,0,9
1614033646,0,14
1614035798,13,0
1614036522,3,0
1614039884,0,8
1614044202,29,17
1614051135,61,45
1614058402,41,57
1614065800,32,28
1614072999,21,27
1614080200,28,24
1614087405,21,20
1614094600,22,18
1614101819,27,42
1614109480,20,22
1614116224,20,46
1614123404,17,7
1614130843,26,52
1614138043,70,12
1614145484,44,79
1614152931,24,9
1614160127,20,21
1614166851,14,22
1614174044,21,12
1614181247,26,18
1614189169,32,33
1614196370,42,44
1614203091,26,25
1614210287,14,19
1614217724,25,41
1614224922,74,53
1614232129,31,33
1614239323,20,17
1614246765,38,20
1614253966,15,12
1614261166,20,20
1614268364,26,19
1614275562,18,18
1614282762,25,25
1614289966,21,25
1614297892,17,19
1614305102,13,30
1614305801,14,65
1614310121,43,0
1614310839,30,0
1614313728,0,32
1614315902,23,0
1614318760,14,0
1614320924,9,16
1614328838,23,16
1614336038,18,16
1614343242,25,17
1614350207,18,15
1614357403,29,10
1614365319,32,41
1614372524,39,26
1614379720,18,46
1614386919,16,35
1614394123,46,62
1614401319,61,35
1614408041,32,12
1614415245,18,25
1614422442,30,12
1614429647,33,22
1614437084,21,20
1614444287,33,24
1614451483,28,18
1614458929,25,34
1614466125,29,23
1614473323,16,36
1614480762,42,63
1614488202,49,32
1614495434,29,25
1614502604,12,15
1614509803,24,18
1614516526,13,22
1614523722,19,18
1614530928,24,21
1614538849,28,14
1614546289,28,23
1614553718,23,28
1614560483,21,29
1614567648,49,52
1614574857,53,29
1614582304,21,20
1614589494,31,12
1614597406,21,15
1614604125,15,23
1614611323,14,15
1614619239,16,25
1614625963,27,4
1614628856,3,0
1614633399,16,0
1614640838,19,90
1614647559,21,20
1614655205,53,56
1614662409,49,38
1614669882,24,18
1614677085,19,14
1614684287,27,19
1614691481,21,16
1614699445,26,44
1614706141,19,20
1614713533,34,26
1614720729,27,0
1614727931,16,23
1614735370,29,19
1614742851,68,57
1614750035,37,32
1614757241,31,21
1614764437,28,26
1614771881,14,22
1614779079,14,13
1614786560,18,37
1614793923,15,22
1614800650,33,0
1614808086,21,20
1614815287,10,21
1614822488,30,36
1614829927,57,53
1614837132,43,36
1614844329,20,16
1614851769,37,42
1614859282,27,0
1614866448,20,10
1614873396,25,17
1614880907,17,62
1614888080,28,25
1614895256,25,17
1614902436,18,0
1614909155,2,34
1614909895,33,0
1614917565,64,85
1614924057,39,0
1614930757,18,16
1614937971,14,13
1614945398,23,16
1614952598,17,23
1614960243,23,18
1614967941,22,15
1614974822,27,17
1614982013,21,28
1614989397,25,21
1614996635,37,34
1615003688,59,60
1615010880,42,36
1615018034,29,896
1615025390,16,24
1615032525,29,10
1615039715,27,8
1615047177,23,27
1615054379,33,26
1615061729,23,20
1615068831,26,27
1615076756,16,17
1615083636,28,49
1615090866,69,59
1615098042,30,31
1615105041,20,20
1615112840,31,25
1615119679,23,0
1615126862,24,19
1615134521,19,32
1615141759,26,16
1615148500,27,0
1615156165,23,58
1615163049,13,0
1615171074,38,85
1615178023,60,38
1615185160,32,0
1615192491,32,15
1615199314,33,16
1615206804,20,16
1615214395,23,38
1615221663,16,19
1615228826,18,18
1615236275,21,31
1615243477,23,14
1615250675,22,21
1615258120,55,86
1615265311,65,0
1615272513,26,22
1615274676,11,15
1615281878,22,19
1615289165,15,18
1615296276,25,16
1615303715,14,11
1615311159,27,0
1615318355,25,48
1615325558,22,23
1615332754,19,26
1615339958,31,45
1615347158,61,50
1615354837,45,27
1615362038,20,17
1615369235,22,25
1615371400,7,0
1615372841,9,0
1615380036,21,12
1615387266,14,20
1615394435,24,22
1615399488,7,24
1615401638,24,0
1615408364,2,18
1615409082,18,0
1615416279,25,35
1615423690,20,14
1615430887,63,43
1615438089,55,65
1615445287,22,54
1615452489,28,0
1615453926,0,15
1615458967,16,0
1615462806,0,21
1615466406,23,0
1615473609,20,18
1615480809,20,16
1615488970,24,62
1615489687,7,0
1615495452,16,0
1615502657,20,26
1615510086,22,27
1615512254,12,66
1615517318,29,0
1615523081,50,51
1615530280,37,29
1615537483,33,18
1615544683,19,33
1615552604,25,25
1615559802,19,25
1615567002,25,22
1615574203,19,23
1615581405,19,26
1615588603,26,39
1615595803,13,28
1615603722,40,66
1615610918,53,55
1615618118,22,16
1615625324,29,17
1615632517,25,16
1615639699,17,23
1615646901,24,24
1615654100,27,21
1615661300,23,18
1615668498,30,25
1615675705,22,30
1615683378,22,17
1615690578,49,9
1615697776,66,92
1615704975,33,25
1615712178,17,27
1615719379,24,13
1615726841,27,18
1615733767,20,27
1615740980,22,22
1615747937,18,22
1615755140,22,28
1615759467,19,17
1615766667,27,41
1615774098,36,110
1615781297,68,35
1615788504,49,14
1615795937,23,21
1615803141,24,16
1615810338,19,28
1615817537,16,20
1615824738,29,0
1615832200,16,29
1615839379,17,50
1615846577,23,20
1615854017,26,32
1615860979,39,59
1615868906,59,34
1615876098,37,21
1615883298,25,14
1615890500,29,21
1615897699,21,17
1615904901,19,29
1615912099,25,17
1615919326,24,0
1615927220,27,60
1615934421,23,26
1615941619,12,42
1615948819,34,67
1615956019,72,43
1615963220,37,23
1615970418,17,25
1615977620,20,25
1615984823,21,29
1615992743,20,0
1615999942,14,38
1616006444,20,0
1616014342,30,47
1616021542,25,23
1616028741,15,38
1616035942,41,69
1616043177,56,36
1616051073,33,20
1616058272,19,19
1616060421,3,0
1616067642,20,21
1616074826,19,2
1616082743,23,28
1616089942,20,30
1616097141,31,37
1616104341,24,30
1616111541,19,62
1616118742,35,46
1616125942,61,64
1616133141,32,33
1616140342,24,0
1616147544,16,37
1616155469,21,7
1616162673,28,15
1616169871,25,27
1616176581,22,22
1616184029,25,27
1616191232,17,54
1616198443,19,16
1616206340,26,53
1616213542,69,57
1616220742,36,26
1616227943,25,15
1616235150,31,21
1616242341,19,15
1616249540,27,23
1616256740,22,17
1616263941,26,36
1616271142,25,6
1616279064,16,25
1616285551,18,18
1616293465,27,70
1616300662,61,66
1616307864,32,7
1616315300,18,23
1616322500,25,12
1616329705,14,52
1616337143,23,3
1616344346,17,21
1616351543,23,60
1616358743,26,37
1616366182,18,29
1616373384,15,13
1616377710,2,7
1616379140,26,0
1616379864,0,37
1616380582,17,0
1616387783,54,65
1616394984,32,14
1616402423,21,21
1616409619,24,35
1616416821,11,26
1616424021,21,27
1616431940,22,9
1616438662,13,39
1616446100,13,11
1616453299,20,60
1616460742,19,14
1616468183,39,50
1616475381,54,67
1616482581,32,30
1616489305,14,7
