DateTime,AddedIPs,RemovedIPs
1613945564,23,30
1613947005,30,23
1613947725,23,30
1613950151,112,145
1613954004,42,40
1613956125,40,42
1613957806,127,102
1613959961,22,28
1613961647,28,22
1613963802,99,130
1613966693,37,28
1613968125,28,37
1613968845,37,28
1613970314,28,37
1613971003,118,113
1613971724,34,29
1613973401,29,34
1613974152,34,29
1613974843,29,34
1613975566,34,29
1613977722,71,132
1613978444,132,71
1613979163,85,119
1613979893,15,42
1613982043,42,15
1613983487,15,42
1613984929,42,15
1613985641,99,97
1613987084,27,27
1613987815,27,27
1613990684,27,27
1613992123,83,59
1614000765,157,657
1614004602,42,64
1614005325,64,42
1614006764,198,108
1614007487,37,41
1614008203,41,37
1614008955,37,41
1614009694,41,37
1614011083,37,41
1614012759,41,37
1614014166,37,41
1614014887,175,99
1614015634,40,32
1614018731,32,40
1614020172,40,32
1614022326,141,114
1614024766,20,20
1614025479,20,20
1614026927,20,20
1614028361,20,20
1614029115,132,132
1614030521,48,27
1614031253,27,48
1614032680,48,27
1614033646,27,48
1614035143,48,27
1614035798,97,144
1614036522,23,19
1614037239,19,23
1614038954,23,19
1614039884,15,23
1614044202,134,125
1614051135,132,161
1614058402,124,108
1614065800,126,108
1614072999,135,98
1614080200,133,97
1614087405,109,102
1614094600,115,118
1614101819,131,94
1614109480,111,124
1614116224,105,118
1614123404,114,135
1614130843,100,123
1614138043,150,140
1614145484,131,127
1614152931,108,131
1614160127,125,99
1614166851,104,74
1614174044,117,94
1614181247,140,97
1614189169,133,108
1614196370,136,124
1614203091,106,123
1614210287,85,132
1614217724,96,103
1614224922,141,177
1614232129,101,151
1614239323,147,98
1614246765,120,104
1614253966,111,78
1614261166,100,92
1614268364,133,78
1614275562,101,105
1614282762,112,117
1614289966,106,100
1614297892,76,134
1614305102,64,66
1614305801,57,51
1614306519,51,57
1614307243,57,51
1614307958,51,57
1614308688,57,51
1614310121,100,118
1614310839,90,85
1614312294,85,90
1614313001,90,85
1614313728,85,90
1614314439,90,85
1614315178,85,90
1614315902,147,170
1614318038,128,100
1614318760,127,131
1614320202,70,94
1614320924,82,112
1614328838,135,94
1614336038,128,93
1614343242,97,98
1614350207,106,116
1614357403,146,97
1614365319,150,108
1614372524,130,115
1614379720,102,132
1614386919,77,137
1614394123,131,132
1614401319,134,143
1614408041,98,87
1614415245,96,89
1614422442,135,123
1614429647,129,156
1614437084,148,94
1614444287,139,87
1614451483,116,97
1614458929,104,112
1614466125,97,134
1614473323,101,102
1614480762,122,110
1614488202,104,127
1614495434,88,94
1614502604,90,76
1614509803,105,91
1614516526,103,99
1614523722,100,101
1614530928,122,91
1614538849,137,105
1614546289,106,124
1614553718,108,115
1614560483,92,99
1614567648,107,117
1614574857,102,131
1614582304,91,84
1614589494,118,95
1614597406,102,101
1614604125,102,96
1614611323,110,101
1614619239,100,97
1614625963,128,90
1614628856,36,45
1614629855,45,36
1614633399,93,112
1614640838,80,119
1614647559,91,113
1614655205,117,598
1614662409,304,116
1614669882,131,105
1614677085,144,116
1614684287,150,104
1614691481,118,96
1614699445,138,141
1614706141,168,94
1614713533,137,97
1614720729,99,135
1614727931,104,129
1614735370,99,127
1614742851,155,156
1614750035,127,125
1614757241,135,104
1614764437,113,111
1614771881,107,78
1614779079,105,115
1614786560,125,83
1614793923,113,109
1614800650,119,112
1614808086,98,118
1614815287,102,108
1614822488,93,116
1614829927,136,135
1614837132,116,123
1614844329,96,142
1614851769,129,88
1614859282,107,97
1614866448,104,83
1614873396,122,108
1614880907,116,106
1614888080,115,114
1614895256,95,125
1614902436,100,122
1614909155,13,12
1614909895,98,118
1614917565,175,159
1614924057,122,110
1614930757,109,96
1614937971,126,94
1614945398,96,102
1614952598,96,84
1614960243,123,98
1614967941,123,114
1614974822,125,107
1614982013,103,121
1614989397,106,109
1614996635,100,120
1615003688,125,122
1615010880,88,134
1615018034,116,79
1615025390,105,90
1615032525,118,111
1615039715,116,94
1615047177,120,108
1615054379,144,85
1615061729,109,128
1615068831,119,132
1615076756,94,123
1615083636,108,104
1615090866,125,149
1615098042,102,96
1615105041,97,88
1615112840,107,89
1615119679,101,99
1615126862,107,92
1615134521,91,104
1615141759,133,85
1615148500,106,125
1615156165,124,124
1615163049,84,121
1615171074,100,123
1615178023,127,131
1615185160,102,104
1615192491,128,84
1615199314,140,89
1615206804,98,91
1615214395,99,109
1615221663,113,87
1615228826,107,101
1615236275,95,112
1615243477,92,116
1615250675,89,100
1615258120,121,133
1615265311,130,115
1615272513,92,118
1615274676,62,43
1615281878,114,75
1615289165,90,95
1615296276,105,75
1615303715,116,92
1615311159,112,101
1615318355,91,101
1615325558,92,131
1615332754,95,134
1615339958,103,149
1615347158,129,165
1615354837,115,134
1615362038,105,78
1615369235,97,112
1615371400,46,50
1615372841,50,40
1615380036,110,89
1615387266,95,117
1615394435,115,102
1615399488,40,36
1615400193,36,40
1615401638,127,110
1615408364,41,31
1615409082,95,99
1615416279,109,104
1615423690,101,113
1615430887,120,137
1615438089,122,134
1615445287,91,104
1615452489,121,89
1615453926,22,21
1615456851,21,22
1615458967,87,82
1615466406,98,130
1615473609,132,114
1615480809,111,75
1615488970,108,103
1615489687,37,31
1615490406,31,37
1615491129,37,31
1615491852,31,37
1615495452,91,105
1615502657,95,115
1615510086,86,107
1615512254,45,57
1615513691,57,45
1615517318,101,117
1615523081,125,105
1615530280,115,109
1615537483,118,112
1615544683,118,76
1615552604,103,82
1615559802,103,100
1615567002,122,104
1615574203,98,115
1615581405,89,90
1615588603,84,100
1615595803,79,98
1615603722,99,103
1615610918,94,119
1615618118,86,84
1615625324,88,87
1615632517,112,78
1615639699,88,95
1615646901,112,82
1615654100,102,94
1615661300,111,79
1615668498,114,102
1615675705,85,119
