DateTime,AddedIPs,RemovedIPs
1615987529,3,8
1615988078,1,10
1615989939,3,8
1615991671,2,6
1615992875,4,1
1615994749,5,1
1615995274,1,7
1615996487,3,6
1615998329,10,5
1615998874,2,5
1616000121,0,986
1616001300,990,0
1616002793,3,7
1616004362,1,3
1616006070,5,11
1616007373,0,3
1616009138,8,7
1616009667,1,6
1616012172,4,7
1616013275,5,5
1616014799,2,3
1616016335,3,0
1616016874,0,6
1616019932,4,5
1616020474,0,54
1616022168,5,17
1616023491,0,897
1616024909,896,0
1616026060,2,1
1616028636,6,3
1616030736,2,2
1616032233,3,1
1616033668,7,3
1616035831,3,28
1616037934,4,19
1616038476,3,25
1616040415,2,7
1616041532,4,1
1616042081,1,4
1616043849,6,8
1616045137,4,0
1616045674,3,6
1616047175,4,9
1616048707,0,833
1616050234,833,0
1616052112,8,3
1616052867,2,13
1616054577,6,7
1616055930,3,1
1616057436,3,6
1616059532,5,3
1616060070,0,10
1616061425,3,3
1616062792,2,3
1616064641,5,10
1616066730,5,1
1616067274,0,5
1616069112,3,2
1616070848,0,811
1616072068,804,0
1616073612,2,5
1616075435,1,15
1616077530,3,5
1616078746,1,20
1616080050,6,11
1616081634,45,10
1616082954,39,8
1616084218,38,8
1616085274,0,7
1616086588,0,1
1616088332,3,4
1616088870,1,5
1616090370,3,5
1616091931,2,1
1616092471,1,7
1616094518,0,13
1616096524,1,7
1616099131,10,5
1616100629,2,4
1616101777,3,4
1616103277,1,15
1616106336,4,2
1616107836,2,8
1616109070,5,3
1616111439,58,6
1616113532,8,3
1616114070,1,50
1616116328,3,4
1616120020,4,8
1616121275,4,8
1616123084,3,5
1616124339,6,0
1616124872,5,3
1616126743,10,7
1616130798,9,14
1616132076,12,22
1616133581,0,797
1616135133,798,0
1616135675,10,21
1616138044,36,26
1616139276,31,23
1616140968,49,13
1616142334,19,0
1616142869,3,8
1616144036,0,855
1616145320,863,0
1616147673,17,12
1616149447,6,4
1616150072,8,7
1616152286,12,4
1616153674,4,8
1616155021,7,1
1616156565,10,8
1616157272,4,8
1616158431,3,3
1616159863,3,4
1616160872,0,3
1616163936,8,8
1616165437,10,6
1616167132,4,5
1616168074,3,7
1616170291,8,8
1616171667,6,5
1616172936,1,1
1616174253,0,2
1616175270,1,2
1616176573,2,3
1616178335,2,1
1616178870,1,5
1616181595,1,2
1616182471,4,9
1616184949,3,4
1616186070,2,3
1616188683,3,1
1616189677,1,3
1616192091,1,5
1616193280,6,5
1616196121,7,8
1616197536,3,6
1616199936,3,5
1616200479,0,5
1616202577,0,5
1616204069,2,3
1616206293,3,3
1616207672,0,6
1616209988,5,4
1616211279,2,3
1616213334,1,7
1616215379,0,828
1616217796,817,0
1616218454,0,817
1616219808,810,0
1616221109,3,3
1616222071,0,6
1616224595,8,6
1616225676,5,5
1616226893,1,0
1616228730,1,2
1616230238,5,6
1616231370,0,805
1616232872,807,0
1616234707,2,5
1616236478,3,2
1616237633,0,1
1616238834,1,3
1616240068,0,1
1616242064,28,5
1616244631,47,3
1616246732,2,3
1616248232,1,3
1616250330,63,2
1616251840,19,41
1616254474,21,51
1616257054,6,2
1616259795,5,4
1616261680,0,2
1616264152,0,2
1616267514,3,2
1616268871,3,9
1616271693,4,4
1616272471,3,1
1616274935,0,3
1616276069,2,3
1616277968,4,1
1616279130,1,0
1616280634,5,36
1616283274,4,16
1616284810,2,5
1616285917,1,0
1616288253,2,0
1616289932,1,0
1616290476,0,4
1616294074,2,13
1616295281,2,7
1616297136,7,5
1616298636,2,2
1616300731,15,0
1616302250,10,14
1616304873,21,20
1616306997,21,17
1616309438,21,62
1616311529,12,44
1616312076,12,22
1616315678,22,24
1616317402,22,9
1616318629,8,0
1616319275,5,6
1616321985,15,11
1616322871,4,12
1616325935,14,10
1616326470,4,8
1616329513,11,11
1616331010,11,9
1616332161,3,3
1616333549,5,6
1616334675,5,5
1616336732,8,4
1616339844,8,14
1616340851,5,11
1616342808,1,4
1616343919,0,749
1616344472,748,0
1616348072,10,4
1616349228,1,2
1616350879,1,1
1616352155,1,5
1616353634,1,0
1616355280,1,5
1616356461,3,1
1616358878,1,4
1616362474,4,9
1616364543,1,2
1616366060,0,739
1616368053,735,0
1616369674,2,1
1616373307,3,3
1616376343,7,4
1616376868,2,2
1616379940,10,4
1616381432,8,3
1616384093,3,2
1616387673,5,6
1616390733,9,5
1616392232,13,2
1616394868,96,10
1616397310,11,2
1616398471,2,0
1616399862,5,3
1616401530,11,4
1616405131,23,8
1616405669,6,4
1616408736,22,3
1616409276,12,2
1616412157,24,4
1616413449,5,51
1616414760,12,5
1616415932,10,0
1616416472,3,2
1616418923,11,2
1616420076,1,81
1616421216,1,11
1616422692,3,31
1616423674,1,15
1616425056,1,3
1616426736,1,1
1616427279,0,3
1616428740,2,6
1616430334,11,0
1616430867,12,1
1616431973,7,1
1616433931,18,1
1616434474,8,0
1616436673,28,1
1616438067,25,4
1616440354,30,3
1616441478,12,3
1616441676,1,0
1616443728,16,1
1616445277,14,0
1616446657,13,1
1616448337,9,2
1616448875,1,2
1616450150,9,1
