DateTime,AddedIPs,RemovedIPs
1615989915,83,87
1615991644,52,82
1615992851,39,31
1615994705,64,65
1615995245,14,104
1615996464,36,39
1615998304,56,70
1615998845,20,86
1616000120,51,27
1616001277,45,65
1616002767,54,99
1616004319,56,64
1616006045,53,74
1616007347,42,33
1616009104,58,57
1616009644,16,73
1616012133,86,93
1616013245,37,71
1616014766,49,68
1616016304,42,1
1616016845,18,83
1616019904,71,62
1616020444,24,116
1616022138,52,96
1616023490,37,1
1616024876,36,104
1616026038,26,55
1616028605,65,110
1616030705,71,53
1616032205,47,101
1616033639,56,61
1616035805,58,130
1616037906,69,74
1616038446,15,109
1616040390,56,85
1616041505,35,0
1616042046,14,62
1616043825,66,85
1616045646,57,98
1616047082,45,28
1616048705,68,65
1616050208,51,111
1616052062,91,69
1616052844,40,120
1616054544,91,99
1616055904,65,1
1616057409,77,198
1616059505,110,91
1616060045,33,133
1616061403,67,54
1616062769,43,145
1616064605,41,226
1616066704,62,125
1616067244,18,177
1616069089,66,81
1616070846,73,85
1616072033,46,15
1616073589,49,55
1616075404,41,126
1616077504,62,32
1616078720,49,120
1616079827,29,53
1616080991,59,1
1616082926,106,101
1616084177,83,54
1616085245,39,86
1616086554,50,25
1616088305,65,55
1616088845,24,60
1616090280,52,27
1616091904,47,41
1616092445,17,68
1616094496,71,79
1616096502,91,115
1616099104,94,52
1616100604,52,118
1616101744,45,54
1616103248,44,70
1616106304,99,58
1616107804,37,70
1616109044,39,36
1616111406,130,105
1616113505,64,36
1616114045,13,460
1616116305,68,77
1616119995,113,138
1616121244,41,67
1616123056,65,95
1616124844,70,66
1616126719,74,92
1616130769,125,153
1616132044,44,95
1616133557,45,104
1616135104,84,6
1616135645,30,82
1616138022,111,105
1616139250,84,138
1616140961,0,18802
1616142845,18802,0
1616144035,56,36
1616145292,47,63
1616147642,89,117
1616149426,68,66
1616150048,29,80
1616152264,93,84
1616153645,40,77
1616154999,43,18
1616156543,61,70
1616157244,22,72
1616158344,35,22
1616159837,49,94
1616160845,25,211
1616163904,101,76
1616165405,81,73
1616167108,51,53
1616168045,36,62
1616170263,95,70
1616171644,44,75
1616172905,35,21
1616174207,45,43
1616175245,36,61
1616176530,45,27
1616178304,49,41
1616178844,18,71
1616181573,82,52
1616182444,15,81
1616184927,65,62
1616186044,31,59
1616188653,67,49
1616189644,38,57
1616192069,58,70
1616193245,47,61
1616196098,78,68
1616197504,36,80
1616199904,67,35
1616200444,12,68
1616202555,77,69
1616204045,48,64
1616206261,78,55
1616207644,46,62
1616209958,71,55
1616211246,52,56
1616213309,68,72
1616215360,57,81
1616218445,83,142
1616219765,35,22
1616221064,39,60
1616222045,20,114
1616224570,93,99
1616225644,48,89
1616226871,48,38
1616228705,55,79
1616230212,92,132
1616231352,48,70
1616232845,56,69
1616234685,56,57
1616236450,57,57
1616237612,37,12
1616238812,39,47
1616240044,39,64
1616242041,102,63
1616244605,124,80
1616246704,62,45
1616248205,62,67
1616250305,124,42
1616251805,70,109
1616254445,266,140
1616257028,77,66
1616259767,71,137
1616261644,57,54
1616264129,51,53
1616267492,62,113
1616268845,34,65
1616271671,107,60
1616272445,22,67
1616274898,68,63
1616276045,46,55
1616277595,48,40
1616278815,40,6
1616280605,63,113
1616283246,87,111
1616284772,44,55
1616285887,37,4
1616286846,29,53
1616288205,44,17
1616289905,38,34
1616290444,13,79
1616294045,91,158
1616295251,45,27
1616297105,65,42
1616298605,43,69
1616300704,84,30
1616302206,53,85
1616304845,110,126
1616307904,128,80
1616309405,54,163
1616311504,58,86
1616312044,28,77
1616315650,131,151
1616317366,94,76
1616319250,58,72
1616321963,104,80
1616322847,26,74
1616325904,128,65
1616326448,16,66
1616329484,127,64
1616331003,0,17852
1616332131,17829,0
1616333512,67,51
1616334648,48,50
1616336704,93,37
1616339800,99,162
1616340844,0,17836
1616342775,17812,0
1616343905,58,0
1616344445,24,65
1616348045,149,102
1616349206,131,24
1616350821,306,34
1616352132,188,62
1616353607,198,29
1616355245,189,63
1616356416,118,13
1616358321,124,36
1616358845,52,44
1616362446,349,99
1616364501,177,52
1616366045,146,56
1616368021,140,56
1616369645,103,47
1616373280,232,125
1616376295,198,72
1616376845,36,67
1616379905,178,63
1616381405,103,69
1616384061,180,88
1616387644,183,104
1616390705,186,59
1616392204,90,76
1616394845,239,113
1616397287,155,73
1616398445,68,53
1616399840,87,52
1616401505,79,38
1616405104,208,124
1616405645,27,57
1616408706,142,57
1616409245,31,56
1616412130,156,77
1616413229,45,128
1616414737,83,46
1616415904,77,0
1616416446,26,60
1616418895,113,61
1616420049,39,128
1616421192,48,28
1616422666,70,71
1616423644,33,85
1616425024,33,19
1616426705,52,47
1616427246,24,38
1616428660,49,21
1616430304,62,41
1616430845,26,46
1616431942,40,23
1616433905,82,36
1616434445,22,37
1616436647,100,28
1616438045,82,48
1616440329,107,72
1616441644,58,55
1616443705,76,60
1616445248,55,65
1616446632,61,23
1616448305,68,32
1616448844,23,54
1616450128,41,17
1616451656,62,75
1616452446,38,45
1616454160,75,71
1616456045,83,69
1616457715,41,73
1616459105,43,1
1616460604,72,66
1616462704,92,25
1616463245,22,44
1616464860,77,75
1616465990,55,0
1616466845,37,68
1616468231,76,30
1616469905,63,39
1616470445,16,57
1616472723,83,74
1616474045,51,78
1616475784,80,95
1616477645,104,53
1616479048,69,31
1616480705,62,41
1616481250,31,55
1616483201,112,70
1616484851,91,75
1616486803,95,102
1616487907,60,3
1616488445,27,64
1616490670,111,81
1616492046,56,84
1616493418,73,40
1616495105,70,59
1616496294,44,88
1616497422,37,48
1616499245,78,90
1616501316,71,81
1616503804,102,98
1616506445,110,135
1616509504,120,80
1616510823,44,96
1616513106,60,48
1616514255,45,111
1616517246,79,104
1616518386,38,18
1616519532,35,43
1616520845,41,102
1616522102,28,34
1616523477,64,62
1616524444,51,114
1616526851,114,68
1616528716,59,99
1616530497,54,68
1616531645,29,114
1616534705,108,87
1616535972,46,118
1616538845,90,148
1616542444,117,167
1616543875,55,20
1616545504,75,51
1616546045,14,100
1616547668,51,104
1616582045,215,1969
1616583705,78,305
1616585644,91,133
1616587491,106,95
1616589249,87,95
1616590544,41,30
1616592291,73,56
1616592845,27,76
1616594642,265,67
1616595904,64,1
1616597087,46,104
1616598421,0,18672
1616600044,18609,0
1616601181,34,38
1616602313,37,51
1616603645,68,1
1616605199,78,166
1616606705,80,3
1616607247,29,76
1616608547,38,27
1616610844,101,155
1616613547,127,77
1616615405,82,90
1616617281,76,58
1616618045,34,73
1616619141,59,27
1616620846,77,51
1616623068,108,109
1616624282,62,63
1616625250,35,80
1616628307,111,77
1616629805,43,114
1616632451,107,144
1616633554,15,36
1616635142,0,74
1616637005,0,88
1616638144,0,111
1616639641,0,18221
1616640758,18314,0
1616642703,0,18314
1616643244,18368,0
1616645397,108,101
1616649906,216,224
1616650444,18,93
1616651928,0,18292
1616653507,18305,0
1616654961,60,162
1616656234,0,18203
1616658311,18169,0
1616659602,96,65
1616660704,86,2
1616662151,71,151
1616663820,72,101
1616664844,0,18175
1616666082,18115,0
1616667177,47,74
1616668445,70,123
1616669627,63,35
1616671194,52,70
1616672044,27,90
1616674373,102,119
1616676328,91,149
1616678178,76,56
1616679248,41,105
1616680434,67,47
1616681630,52,57
1616682844,41,89
1616684699,50,104
1616685905,45,3
1616687405,83,96
1616688884,69,57
1616690047,40,66
1616691142,32,21
1616693104,84,48
1616694604,66,152
1616696157,50,83
1616697470,45,75
1616698614,48,35
1616700885,89,114
1616703426,104,71
1616705026,75,110
1616706163,50,70
1616707504,45,1
1616709006,55,93
1616710682,69,54
1616711645,44,73
1616713619,76,80
1616715243,55,100
1616717088,56,124
1616718305,48,0
1616719806,54,94
1616722447,307,1
1616725161,101,0
1616726046,44,0
1616727449,55,0
1616729104,71,0
1616729644,20,1
1616733252,97,2
1616736844,118,1
1616738897,82,0
1616740021,65,0
1616740444,15,0
1616743504,182,2
1616745657,140,0
1616747644,89,0
1616749507,78,52
1616750707,51,0
1616752047,57,88
1616753183,48,64
1616754848,61,90
1616756016,50,20
1616757331,49,71
1616758444,38,69
1616760807,77,59
1616762052,47,74
1616764424,74,82
1616766043,57,86
1616768645,104,36
1616770212,60,85
1616772339,69,47
1616773818,40,80
1616775892,68,48
1616777243,40,92
1616780045,89,99
1616782802,103,59
1616783925,26,77
1616785418,66,59
1616786588,58,1
1616788205,47,88
1616789560,31,47
1616790845,45,85
1616793648,79,77
1616794445,29,66
1616796302,75,74
1616797504,49,0
1616799005,34,86
1616801104,62,40
1616802607,37,92
1616804639,52,0
1616805247,18,0
1616806751,44,1
1616807981,45,0
1616812445,134,303
1616815283,124,148
1616816045,22,68
1616819110,112,79
1616820606,55,105
1616822097,55,51
1616824857,93,190
1616826305,41,0
1616826846,27,95
1616828440,0,18504
1616829636,18475,0
1616830444,25,107
1616831932,45,69
1616833505,88,8
1616834045,19,96
1616837106,183,67
1616837645,21,79
1616839258,43,71
1616840705,50,0
1616841245,14,54
1616844207,130,328
