DateTime,Entries,UniqueIPs
1615989915,29319,29319
1615991644,29289,29289
1615992851,29297,29297
1615994705,29296,29296
1615995245,29206,29206
1615996464,29203,29203
1615998304,29189,29189
1615998845,29123,29123
1616000120,29147,29147
1616001277,29127,29127
1616002767,29082,29082
1616004319,29074,29074
1616006045,29053,29053
1616007347,29062,29062
1616009104,29063,29063
1616009644,29006,29006
1616012133,28999,28999
1616013245,28965,28965
1616014766,28946,28946
1616016304,28987,28987
1616016845,28922,28922
1616019904,28931,28931
1616020444,28839,28839
1616022138,28795,28795
1616023490,28831,28831
1616024876,28763,28763
1616026038,28734,28734
1616028605,28689,28689
1616030705,28707,28707
1616032205,28653,28653
1616033639,28648,28648
1616035805,28576,28576
1616037906,28571,28571
1616038446,28477,28477
1616040390,28448,28448
1616041505,28483,28483
1616042046,28435,28435
1616043825,28416,28416
1616045646,28375,28375
1616047082,28392,28392
1616048705,28395,28395
1616050208,28335,28335
1616052062,28357,28357
1616052844,28277,28277
1616054544,28269,28269
1616055904,28333,28333
1616057409,28212,28212
1616059505,28231,28231
1616060045,28131,28131
1616061403,28144,28144
1616062769,28042,28042
1616064605,27857,27857
1616066704,27794,27794
1616067244,27635,27635
1616069089,27620,27620
1616070846,27608,27608
1616072033,27639,27639
1616073589,27633,27633
1616075404,27548,27548
1616077504,27578,27578
1616078720,27507,27507
1616079827,27483,27483
1616080991,27541,27541
1616082926,27546,27546
1616084177,27575,27575
1616085245,27528,27528
1616086554,27553,27553
1616088305,27563,27563
1616088845,27527,27527
1616090280,27552,27552
1616091904,27558,27558
1616092445,27507,27507
1616094496,27499,27499
1616096502,27475,27475
1616099104,27517,27517
1616100604,27451,27451
1616101744,27442,27442
1616103248,27416,27416
1616106304,27457,27457
1616107804,27424,27424
1616109044,27427,27427
1616111406,27452,27452
1616113505,27480,27480
1616114045,27033,27033
1616116305,27024,27024
1616119995,26999,26999
1616121244,26973,26973
1616123056,26943,26943
1616124844,26947,26947
1616126719,26929,26929
1616130769,26901,26901
1616132044,26850,26850
1616133557,26791,26791
1616135104,26869,26869
1616135645,26817,26817
1616138022,26823,26823
1616139250,26769,26769
1616140961,7967,7967
1616142845,26769,26769
1616144035,26789,26789
1616145292,26773,26773
1616147642,26745,26745
1616149426,26747,26747
1616150048,26696,26696
1616152264,26705,26705
1616153645,26668,26668
1616154999,26693,26693
1616156543,26684,26684
1616157244,26634,26634
1616158344,26647,26647
1616159837,26602,26602
1616160845,26416,26416
1616163904,26441,26441
1616165405,26449,26449
1616167108,26447,26447
1616168045,26421,26421
1616170263,26446,26446
1616171644,26415,26415
1616172905,26429,26429
1616174207,26431,26431
1616175245,26406,26406
1616176530,26424,26424
1616178304,26432,26432
1616178844,26379,26379
1616181573,26409,26409
1616182444,26343,26343
1616184927,26346,26346
1616186044,26318,26318
1616188653,26336,26336
1616189644,26317,26317
1616192069,26305,26305
1616193245,26291,26291
1616196098,26301,26301
1616197504,26257,26257
1616199904,26289,26289
1616200444,26233,26233
1616202555,26241,26241
1616204045,26225,26225
1616206261,26248,26248
1616207644,26232,26232
1616209958,26248,26248
1616211246,26244,26244
1616213309,26240,26240
1616215360,26216,26216
1616218445,26157,26157
1616219765,26170,26170
1616221064,26149,26149
1616222045,26055,26055
1616224570,26049,26049
1616225644,26008,26008
1616226871,26018,26018
1616228705,25994,25994
1616230212,25954,25954
1616231352,25932,25932
1616232845,25919,25919
1616234685,25918,25918
1616236450,25918,25918
1616237612,25943,25943
1616238812,25935,25935
1616240044,25910,25910
1616242041,25949,25949
1616244605,25993,25993
1616246704,26010,26010
1616248205,26005,26005
1616250305,26087,26087
1616251805,26048,26048
1616254445,26174,26174
1616257028,26185,26185
1616259767,26119,26119
1616261644,26122,26122
1616264129,26120,26120
1616267492,26069,26069
1616268845,26038,26038
1616271671,26085,26085
1616272445,26040,26040
1616274898,26045,26045
1616276045,26036,26036
1616277595,26044,26044
1616278815,26078,26078
1616280605,26028,26028
1616283246,26004,26004
1616284772,25993,25993
1616285887,26026,26026
1616286846,26002,26002
1616288205,26029,26029
1616289905,26033,26033
1616290444,25967,25967
1616294045,25900,25900
1616295251,25918,25918
1616297105,25941,25941
1616298605,25915,25915
1616300704,25969,25969
1616302206,25937,25937
1616304845,25921,25921
1616307904,25969,25969
1616309405,25860,25860
1616311504,25832,25832
1616312044,25783,25783
1616315650,25763,25763
1616317366,25781,25781
1616319250,25767,25767
1616321963,25791,25791
1616322847,25743,25743
1616325904,25806,25806
1616326448,25756,25756
1616329484,25819,25819
1616331003,7967,7967
1616332131,25796,25796
1616333512,25812,25812
1616334648,25810,25810
1616336704,25866,25866
1616339800,25803,25803
1616340844,7967,7967
1616342775,25779,25779
1616343905,25837,25837
1616344445,25796,25796
1616348045,25843,25843
1616349206,25950,25950
1616350821,26222,26222
1616352132,26348,26348
1616353607,26517,26517
1616355245,26643,26643
1616356416,26748,26748
1616358321,26836,26836
1616358845,26844,26844
1616362446,27094,27094
1616364501,27219,27219
1616366045,27309,27309
1616368021,27393,27393
1616369645,27449,27449
1616373280,27556,27556
1616376295,27682,27682
1616376845,27651,27651
1616379905,27766,27766
1616381405,27800,27800
1616384061,27892,27892
1616387644,27971,27971
1616390705,28098,28098
1616392204,28112,28112
1616394845,28238,28238
1616397287,28320,28320
1616398445,28335,28335
1616399840,28370,28370
1616401505,28411,28411
1616405104,28495,28495
1616405645,28465,28465
1616408706,28550,28550
1616409245,28525,28525
1616412130,28604,28604
1616413229,28521,28521
1616414737,28558,28558
1616415904,28635,28635
1616416446,28601,28601
1616418895,28653,28653
1616420049,28564,28564
1616421192,28584,28584
1616422666,28583,28583
1616423644,28531,28531
1616425024,28545,28545
1616426705,28550,28550
1616427246,28536,28536
1616428660,28564,28564
1616430304,28585,28585
1616430845,28565,28565
1616431942,28582,28582
1616433905,28628,28628
1616434445,28613,28613
1616436647,28685,28685
1616438045,28719,28719
1616440329,28754,28754
1616441644,28757,28757
1616443705,28773,28773
1616445248,28763,28763
1616446632,28801,28801
1616448305,28837,28837
1616448844,28806,28806
1616450128,28830,28830
1616451656,28817,28817
1616452446,28810,28810
1616454160,28814,28814
1616456045,28828,28828
1616457715,28796,28796
1616459105,28838,28838
1616460604,28844,28844
1616462704,28911,28911
1616463245,28889,28889
1616464860,28891,28891
1616465990,28946,28946
1616466845,28915,28915
1616468231,28961,28961
1616469905,28985,28985
1616470445,28944,28944
1616472723,28953,28953
1616474045,28926,28926
1616475784,28911,28911
1616477645,28962,28962
1616479048,29000,29000
1616480705,29021,29021
1616481250,28997,28997
1616483201,29039,29039
1616484851,29055,29055
1616486803,29048,29048
1616487907,29105,29105
1616488445,29068,29068
1616490670,29098,29098
1616492046,29070,29070
1616493418,29103,29103
1616495105,29114,29114
1616496294,29070,29070
1616497422,29059,29059
