DateTime,AddedIPs,RemovedIPs
1615958749,5,119
1615959279,0,25
1615961254,3,75
1615963837,6,90
1615966483,3,91
1615967706,3,28
1615969549,3,64
1615970119,2,20
1615973097,9,70
1615974643,11,48
1615976746,4,53
1615978371,2,26
1615980339,1,46
1615981845,13,28
1615983946,6,37
1615984483,1,10
1615985632,6,26
1615987537,2,38
1615988086,2,6
1615989947,7,27
1615991680,0,27
1615992885,0,16
1615994765,7,21
1615995283,1,11
1615996495,2,15
1615998338,4,16
1615998883,5,4
1616001314,7,32
1616002808,3,20
1616004377,18,18
1616006078,4,21
1616007386,3,19
1616009148,1,21
1616009678,0,4
1616012189,10,28
1616013288,3,9
1616014873,2,19
1616016344,12,7
1616016884,1,7
1616019941,40,19
1616020482,1,4
1616022185,6,20
1616023506,10,14
1616024921,10,11
1616026069,7,13
1616028647,8,20
1616030745,6,18
1616032243,6,11
1616033676,40,8
1616035841,3,23
1616037944,13,15
1616038486,7,6
1616040427,4,13
1616041541,6,6
1616042091,6,4
1616043868,20,13
1616045146,6,6
1616045683,1,3
1616047560,2,8
1616050242,7,17
1616052125,8,8
1616052876,0,10
1616054594,3,12
1616055938,5,7
1616057445,3,10
1616059541,5,5
1616060079,1,4
1616061433,4,5
1616062808,8,5
1616064649,19,10
1616066738,13,6
1616067282,2,7
1616069123,1,13
1616070339,2,2
1616070872,1,3
1616072076,2,5
1616073624,3,6
1616075443,5,6
1616077538,6,5
1616078755,2,1
1616080060,4,3
1616081643,3,2
1616082963,1,5
1616084242,5,3
1616085283,3,5
1616086600,9,4
1616088340,6,15
1616088878,0,3
1616091940,9,7
1616092479,1,2
1616094526,7,9
1616096544,8,15
1616099139,6,15
1616100638,6,5
1616101785,7,4
1616103290,9,4
1616106344,18,13
1616107844,6,8
1616109086,6,9
1616113541,20,21
1616114078,3,354
1616116343,15,8
1616120030,17,18
1616123104,23,14
1616124882,1,14
1616126757,9,7
1616130806,15,23
1616132084,3,7
1616135141,10,11
1616135684,1,0
1616138052,7,5
1616139285,6,5
1616140990,7,4
1616142342,5,5
1616142877,2,1
1616144050,3,5
1616145339,3,2
1616147683,4,9
1616149456,5,8
1616150081,2,3
1616152295,8,11
1616153683,5,3
1616155030,6,3
1616156574,0,6
1616157281,1,0
1616158440,1,2
1616159872,5,4
1616160881,0,4
1616163944,5,8
1616165445,0,4
1616167140,8,1
1616168082,4,1
1616170306,9,9
1616171676,4,5
1616174268,3,7
1616175278,2,2
1616176583,1,2
1616178344,3,6
1616178878,2,2
1616181612,10,5
1616182480,1,4
1616184960,3,9
1616186078,0,5
1616188697,31,4
1616189686,1,8
1616192099,12,5
1616193292,2,9
1616196137,26,9
1616199945,22,18
1616200487,4,5
1616202586,7,10
1616204078,5,8
1616206301,6,7
1616207681,8,4
1616210007,15,14
1616211288,1,6
1616213346,7,8
1616215386,1,5
1616217810,4,9
1616218467,2,2
1616219824,2,5
1616221121,5,1
1616222079,2,7
1616225689,13,10
1616226902,4,7
1616228739,6,9
1616230248,3,4
1616232880,9,7
1616234718,27,8
1616236487,10,7
1616237641,2,5
1616238842,24,5
1616240077,1,7
1616242072,61,10
1616244640,21,31
1616248241,4,24
1616250339,4,12
1616251854,4,11
1616254486,11,14
1616257062,4,9
1616259813,3,6
1616261146,7,2
1616261689,1,1
1616264172,11,6
1616267522,1,9
1616268879,5,2
1616271701,4,7
1616272479,0,3
1616274957,4,3
1616276079,5,3
1616277981,1,8
1616279138,2,3
1616280644,1,4
1616283283,12,8
1616285931,13,11
1616286888,5,8
1616288273,1,11
1616289941,4,3
1616290485,1,0
1616294084,5,11
1616295290,3,2
1616297145,9,6
1616298648,4,2
1616300740,13,2
1616302268,11,4
1616304883,5,13
1616307014,8,9
1616309446,2,9
1616311537,8,4
1616312085,0,4
1616315686,6,9
1616317417,7,4
1616318638,11,1
1616319283,3,4
1616321994,11,7
1616322880,2,3
1616325943,12,16
1616326480,0,1
1616329529,14,15
1616331021,1,9
1616332171,7,2
1616333577,1,9
1616334686,8,2
1616336741,18,6
1616339861,2,9
1616340866,1,2
1616342830,0,3
1616344481,0,1
1616348081,12,4
1616349237,1,5
1616350893,2,11
1616352163,7,6
1616353644,2,7
1616355288,1,7
1616356476,3,1
1616358360,7,3
1616358887,0,3
1616362484,10,7
1616364558,5,3
1616366064,2,4
1616368063,10,10
1616369685,7,6
1616373317,11,14
1616376354,15,8
1616376877,3,1
1616379949,5,10
1616383464,2,8
1616384105,0,4
1616387683,9,10
1616390743,11,11
1616392244,8,2
1616394878,7,6
1616397328,8,9
1616398479,3,3
1616399870,7,5
1616401538,4,6
1616405139,17,11
1616405677,1,1
1616408744,9,9
1616409284,3,3
1616412166,5,14
1616413457,7,9
1616414777,4,8
1616415941,6,4
1616416481,0,1
1616418937,4,4
1616420085,2,3
1616421225,2,6
1616422709,10,3
1616423683,0,4
1616425065,1,1
1616426744,3,6
1616427287,0,4
1616428753,2,6
1616430343,2,4
1616430876,0,2
1616431981,2,3
1616433939,3,4
1616434483,2,1
1616436683,1,3
1616438075,1,1
1616440363,15,6
1616441493,3,3
1616441685,3,1
1616443736,10,4
1616445285,0,5
1616446665,2,5
1616448348,7,3
1616448883,3,1
1616450162,3,5
1616451694,7,3
1616452478,3,1
1616454212,5,9
1616455540,1,4
1616456084,0,7
1616457778,1,8
1616460650,3,6
1616462744,11,4
1616463279,6,1
1616465879,8,8
1616466887,1,1
1616468279,2,6
1616469942,6,5
1616470481,2,2
1616472775,10,4
1616474085,7,2
1616475838,5,6
1616477146,3,5
1616477681,1,1
1616479079,6,4
1616480738,15,2
1616481285,5,2
1616483249,9,6
1616484888,6,4
1616486834,8,6
1616488481,5,10
1616490712,12,8
1616492078,5,9
1616493459,8,9
1616495140,12,9
1616496344,5,12
1616497482,1,4
1616499285,8,6
1616501348,11,6
1616503847,10,8
1616506480,14,5
1616509541,9,10
1616510860,1,5
1616513143,10,3
1616514286,5,2
1616517282,7,13
1616518421,0,2
1616519564,2,2
1616520876,4,2
1616522135,3,4
1616523530,7,1
1616524477,3,1
1616526884,9,7
1616528752,6,7
1616530563,10,8
1616531680,3,2
1616534740,12,7
1616536005,4,3
1616538880,5,14
