DateTime,Entries,UniqueIPs
1615039222,2560,2560
1615042827,2549,2549
1615046431,2556,2556
1615050041,2556,2556
1615053640,2553,2553
1615057241,2551,2551
1615060841,2544,2544
1615064441,2536,2536
1615068041,2536,2536
1615071614,2528,2528
1615075243,2522,2522
1615078831,2502,2502
1615082432,2486,2486
1615086027,2480,2480
1615089632,2466,2466
1615093242,2460,2460
1615096843,2457,2457
1615100442,2465,2465
1615104042,2467,2467
1615107642,2454,2454
1615111243,2433,2433
1615114831,2421,2421
1615118443,2423,2423
1615122033,2419,2419
1615125643,2409,2409
1615129233,2403,2403
1615132842,2372,2372
1615136432,2358,2358
1615140033,2351,2351
1615143632,2326,2326
1615147243,2306,2306
1615150833,2299,2299
1615154431,2284,2284
1615158044,2276,2276
1615161608,2268,2268
1615165208,2265,2265
1615168844,2251,2251
1615172443,2235,2235
1615176027,2217,2217
1615179607,2222,2222
1615183207,2226,2226
1615186843,2226,2226
1615190438,2227,2227
1615194042,2215,2215
1615197643,2209,2209
1615201230,2204,2204
1615204843,2200,2200
1615208425,2196,2196
1615212033,2190,2190
1615215628,2172,2172
1615219243,2173,2173
1615222844,2171,2171
1615226441,2157,2157
1615230044,2159,2159
1615233625,2151,2151
1615237244,2137,2137
1615240819,2112,2112
1615244432,2101,2101
1615248043,2081,2081
1615251630,2065,2065
1615255243,2055,2055
1615258843,2047,2047
1615262427,2038,2038
1615266044,2017,2017
1615269614,2000,2000
1615273209,1986,1986
1615276826,1968,1968
1615280409,1946,1946
1615284043,1931,1931
1615287608,1919,1919
1615291235,1910,1910
1615294842,1897,1897
1615298421,1881,1881
1615302031,1871,1871
1615305630,1861,1861
1615309220,1851,1851
1615312835,1834,1834
1615316416,1639,1639
1615320012,1626,1626
1615323618,1625,1625
1615327229,1613,1613
1615330841,1593,1593
1615334436,1596,1596
1615338016,1585,1585
1615341644,1580,1580
1615345241,1576,1576
1615348827,1533,1533
1615352408,1515,1515
1615356044,1502,1502
1615359619,1492,1492
1615363209,1481,1481
1615366845,1473,1473
1615370411,1461,1461
1615374027,1455,1455
1615377635,1444,1444
1615381226,1444,1444
1615384845,1434,1434
1615388411,1424,1424
1615392038,1415,1415
1615395612,1402,1402
1615399209,1394,1394
1615402820,1387,1387
1615406412,1377,1377
1615410032,1360,1360
1615413635,1352,1352
1615417224,1336,1336
1615420835,1322,1322
1615424435,1309,1309
1615428036,1305,1305
1615431612,1295,1295
1615435226,1281,1281
1615438838,1276,1276
1615442414,1258,1258
1615446037,1249,1249
1615449641,1240,1240
1615453236,1232,1232
1615456812,1223,1223
1615460418,1209,1209
1615464027,1203,1203
1615467611,1189,1189
1615471212,1189,1189
1615474828,1179,1179
1615478430,1171,1171
1615482011,1161,1161
1615485609,1146,1146
1615489244,1135,1135
1615492821,1121,1121
1615496437,1093,1093
1615500010,1080,1080
1615503609,1074,1074
1615507244,1072,1072
1615510834,1065,1065
1615514436,1059,1059
1615518023,1052,1052
1615521636,1041,1041
1615525236,1028,1028
1615528837,1018,1018
1615532420,1002,1002
1615536012,985,985
1615539637,975,975
1615543237,968,968
1615546846,959,959
1615550430,948,948
1615554039,944,944
1615557637,940,940
1615561236,934,934
1615564811,935,935
1615568437,914,914
1615572011,899,899
1615575646,886,886
