DateTime,AddedIPs,RemovedIPs
1611867628,1,0
1611878430,2,0
1611900030,1,0
1611914429,3,1
1611918029,1,0
1611925230,1,0
1611932429,0,1
1611936031,2,0
1611943229,1,0
1611946828,2,0
1611950428,1,0
1611954030,1,0
1611975629,1,0
1611982829,2,0
1611990027,1,0
1611997230,1,0
1612000828,2,0
1612015228,1,0
1612033228,0,1
1612051230,1,0
1612054829,1,0
1612065630,1,0
1612080030,1,0
1612101629,0,1
1612112430,1,0
1612116028,1,1
1612126830,1,1
1612130430,1,0
1612134030,1,0
1612155628,0,1
1612166428,1,0
1612170037,0,2
1612177228,1,0
1612180828,0,2
1612191638,0,1
1612206040,0,1
1612209608,0,2
1612224005,1,0
1612227620,0,1
1612242005,0,2
1612245604,0,1
1612249226,0,5
1612252807,0,1
1612256406,0,1
1612270805,0,2
1612278004,0,1
1612299629,0,3
1612303231,1,0
1612314020,0,1
1612317614,2,1
1612328414,0,1
1612339229,1,0
1612360806,1,0
1612371607,1,0
1612375212,1,1
1612396826,0,1
1612414806,1,0
1612432805,1,1
1612440006,0,1
1612454406,0,2
1612490431,1,0
1612501206,0,1
1612504829,0,1
1612512030,1,0
1612519210,0,3
1612526405,0,1
1612530008,0,1
1612540807,0,1
1612558805,0,2
1612569624,1,0
1612580406,0,1
1612587629,1,2
1612591205,1,0
1612594805,0,1
1612598423,2,1
1612620006,1,1
1612623605,0,1
1612648808,2,1
1612656010,1,0
1612659606,0,1
1612663209,0,1
1612674008,0,1
1612684831,0,2
1612692031,1,0
1612720808,0,2
1612738805,0,1
1612746033,2,0
1612753207,1,0
1612764005,1,0
1612771206,0,1
1612782031,0,1
1612800033,0,1
1612818006,1,0
1612821607,0,1
1612828830,1,0
1612843227,1,0
1612846809,1,0
1612850406,0,1
1612864833,0,1
1612882829,1,0
1612904438,1,0
1612908005,1,0
1612915214,1,1
1612922407,1,1
1612936805,1,0
1612944036,1,1
1612969233,0,1
1612972813,1,0
1612983631,0,1
1613008830,0,1
1613034009,0,1
1613044830,1,0
1613048434,0,1
1613052012,0,1
1613059210,1,0
1613070005,1,0
1613073610,1,0
1613080807,3,0
1613084406,1,1
1613088007,3,1
1613091607,4,0
1613095209,2,1
1613098830,1,0
1613106006,1,1
1613109611,1,0
1613145607,1,0
1613149215,1,1
1613152830,0,1
1613156408,0,1
1613181605,1,0
1613188830,0,1
1613192413,0,1
1613203214,0,1
1613206819,0,2
1613217608,0,2
1613224814,0,1
1613242820,0,1
1613250008,0,1
1613253605,1,2
1613264406,3,0
1613268030,2,0
1613282421,0,1
1613289630,0,1
1613296807,0,1
1613307637,0,1
1613318406,1,0
1613325606,1,2
1613336406,0,1
1613340011,2,0
1613350832,0,1
1613365206,1,0
1613372434,0,1
1613401206,1,0
1613404836,0,1
1613419226,0,1
1613422814,0,1
1613433631,0,1
1613462425,1,1
1613466026,1,0
1613484037,1,1
1613498419,0,3
1613505605,0,1
1613509209,0,1
1613520006,0,1
1613527207,0,1
1613541617,0,2
1613545229,1,0
1613552432,3,0
1613574008,0,1
1613577605,0,1
1613581207,1,0
1613584832,0,1
1613592006,1,1
1613606411,1,0
1613649607,0,2
1613664010,2,0
1613671212,1,0
1613674831,0,1
1613678413,0,1
1613696410,0,1
1613710831,0,2
1613718021,0,2
1613721614,0,1
1613725208,0,1
1613728806,0,4
1613732434,0,2
1613736012,0,3
1613739612,0,1
1613750410,1,1
1613754006,0,1
1613822411,1,0
1613826007,1,0
1613836832,1,0
1613840409,1,0
1613862033,1,0
1613865612,0,3
1613872821,1,2
1613883622,1,0
1613901619,1,0
1613923220,0,1
1613955641,0,1
1613970018,0,2
1614016834,0,1
1614024031,0,1
1614031211,0,1
1614034808,1,0
1614038415,3,0
1614049228,1,0
1614056412,1,0
1614070806,1,0
1614088832,1,1
1614110415,1,1
1614128429,1,0
1614135606,5,0
1614139218,3,0
1614142809,2,0
1614146435,5,0
1614150029,1,1
1614153633,2,0
1614157209,6,1
1614160828,2,2
1614164408,3,0
1614171613,3,1
1614175210,1,0
1614178833,2,0
1614182409,1,0
1614186035,1,1
1614200421,1,0
1614204008,1,0
1614211228,0,1
1614218434,1,0
1614229235,2,0
1614240015,1,0
1614243638,1,0
1614265216,1,0
1614268826,0,4
1614276016,0,1
1614279610,1,0
1614290421,1,0
1614301207,1,0
1614315615,0,1
1614319213,0,1
1614322810,1,0
1614340807,1,0
1614369612,1,0
1614384025,1,0
1614420008,1,1
1614441606,2,0
1614445235,2,1
1614448816,1,0
1614456011,0,1
1614470413,1,0
1614481207,1,0
1614506412,0,2
1614520816,1,0
1614528010,0,1
1614538832,0,1
1614556815,0,1
1614600035,1,0
1614643226,0,1
1614646808,3,1
1614650409,1,0
1614657608,0,1
1614661235,1,1
1614672035,0,1
1614675624,0,1
1614690006,1,0
1614715210,0,1
1614733209,1,0
1614736806,6,2
1614740418,6,4
1614744006,1,0
1614747611,1,1
1614751211,2,5
1614754832,5,1
1614758432,2,1
1614762032,0,3
1614765607,0,2
1614769234,0,3
1614772833,0,3
1614776414,0,2
1614780015,0,1
1614783639,1,1
1614787235,0,1
1614790805,1,0
1614798032,1,0
1614801629,1,1
1614805208,0,1
1614808833,3,1
1614812407,1,0
1614816018,3,0
1614830427,1,0
1614834013,0,2
1614844832,0,1
1614880808,0,1
1614898809,1,0
1614902430,1,0
1614906019,0,1
1614909630,0,1
1614927631,0,1
1614931231,1,1
1614934829,0,1
1614938409,1,0
1614942028,2,1
1614963608,1,1
1614967209,1,1
1614974413,0,1
1614988812,0,1
1615010408,1,0
1615024821,0,1
1615042820,1,2
1615046417,1,0
1615050006,0,2
1615053618,0,1
1615060810,1,0
1615071636,1,0
1615089634,1,0
1615100412,1,1
1615125629,0,1
1615143606,0,1
1615150835,1,1
1615161609,2,0
1615197638,0,1
1615201223,2,0
1615204808,4,0
1615208413,3,0
1615212007,2,0
1615222823,1,0
1615226421,3,0
1615248008,1,0
1615251607,0,2
1615262435,0,2
1615266012,0,1
1615273210,0,1
1615276809,0,2
1615280434,0,2
1615284010,1,1
1615309234,1,0
1615345235,0,3
1615348834,2,1
1615352408,3,0
1615356008,2,8
1615359609,2,5
1615363235,1,2
1615366835,1,1
1615377608,0,1
1615384809,1,1
1615388435,0,2
1615395609,1,1
1615402809,0,1
1615406411,0,1
1615413608,3,1
1615428011,1,3
1615431635,0,1
1615438835,1,2
1615456810,1,0
1615460410,2,0
1615467635,1,0
1615478410,0,1
1615500030,0,1
1615503609,1,0
1615507228,0,1
1615510832,1,0
1615536009,0,1
1615550436,0,2
1615557610,2,0
1615564830,1,0
1615572022,1,1
1615575609,0,1
1615579233,0,1
1615582836,1,0
1615604434,1,0
1615618811,0,1
1615622436,0,1
1615629618,1,1
