DateTime,AddedIPs,RemovedIPs
1615046459,68,165
1615050070,66,127
1615053670,275,53
1615057239,271,49
1615060839,145,64
1615064470,211,59
1615068071,193,49
1615071660,142,78
1615075238,151,137
1615078839,182,91
1615082441,124,109
1615086072,113,90
1615089641,140,69
1615093239,91,60
1615096841,101,67
1615100441,104,60
1615104037,82,80
1615107672,103,71
1615111237,105,51
1615114840,85,60
1615118472,105,77
1615122041,85,93
1615125641,68,67
1615129273,53,66
1615132841,63,100
1615136441,54,59
1615140042,72,56
1615143637,55,57
1615147241,51,50
1615150865,70,65
1615154442,62,52
1615158072,54,45
1615161674,52,85
1615165243,55,47
1615168874,68,89
1615172441,63,88
1615176042,74,54
1615179643,58,74
1615183242,110,107
1615186841,70,76
1615190442,76,76
1615194073,66,82
1615197673,72,77
1615201240,119,79
1615204873,77,80
1615208437,61,57
1615212037,50,66
1615215672,50,105
1615219272,63,140
1615222843,58,63
1615226438,44,63
1615230075,45,56
1615233641,49,68
1615237271,58,66
1615240870,94,54
1615244443,97,70
1615248043,62,58
1615251641,87,62
1615255270,104,72
1615258869,67,72
1615262466,74,83
1615266073,62,64
1615269673,70,70
1615273244,69,66
1615276838,90,69
1615280469,78,66
1615284042,59,63
1615287642,64,83
1615291242,88,94
1615294868,62,69
1615298442,78,65
1615302044,54,72
1615305642,49,44
1615309267,60,52
1615312844,64,54
1615316441,74,52
1615320074,58,36
1615323671,44,56
1615327238,69,76
1615330842,50,96
1615334443,66,53
1615338038,45,58
1615341641,61,89
1615345275,86,76
1615348843,67,65
1615352441,63,73
1615356068,72,47
1615359658,87,87
1615363242,63,79
1615366844,68,54
1615370438,70,71
1615374074,53,51
1615377642,53,58
1615381271,72,67
1615384840,48,62
1615388473,49,63
1615392072,64,63
1615395640,52,51
1615399275,74,33
1615402842,65,52
1615406442,60,36
1615410038,49,37
1615413640,76,50
1615417238,56,52
1615420871,62,67
1615424441,46,55
1615428076,75,82
1615431673,78,70
1615435240,60,54
1615438877,57,62
1615442462,63,57
1615446064,69,45
1615449639,64,75
1615453242,69,62
1615456865,100,67
1615460439,76,64
1615464071,93,73
1615467676,101,61
1615471271,89,73
1615474875,83,78
1615478445,86,56
1615482074,112,48
1615485644,104,44
1615489243,92,53
1615492870,91,52
1615496440,103,53
1615500072,116,79
1615503673,84,64
1615507259,65,41
1615510842,90,55
1615514475,112,80
1615518042,100,76
1615521673,96,61
1615525242,89,76
1615528840,94,73
1615532466,112,84
1615536074,74,67
1615539643,89,77
1615543240,83,80
1615546876,104,65
1615550467,73,60
1615554045,88,47
1615557676,93,48
1615561243,67,62
1615564843,84,51
1615568474,64,50
1615572043,62,59
1615575645,73,31
1615579245,102,42
1615582876,84,55
1615586440,90,54
1615590040,80,62
1615593640,83,59
1615597275,78,42
1615600843,78,79
1615604478,99,58
1615608078,72,62
1615611643,53,42
1615615240,56,61
1615618840,71,50
1615622445,46,58
1615626042,63,62
1615629676,68,54
1615633244,63,46
1615636844,79,54
1615640444,45,71
1615644078,53,84
1615647667,60,123
1615651240,47,211
1615654876,50,105
1615658444,41,147
1615662040,70,123
1615665640,38,79
1615669243,53,97
1615672843,59,89
1615676475,56,71
1615680043,71,96
1615683676,67,95
1615687239,63,85
1615690844,58,101
1615694478,44,80
1615698044,38,87
1615701644,62,91
1615705273,50,98
1615708872,52,77
1615712440,61,82
1615716068,61,112
1615719644,46,70
1615723275,51,95
1615726839,44,74
1615730442,35,86
1615734044,210,62
1615737641,257,69
1615741245,131,57
1615744841,206,57
1615748477,174,50
1615752073,141,53
1615755664,144,58
1615759277,116,54
1615762868,115,45
1615766472,112,50
1615770076,127,55
1615773642,113,77
1615777259,131,103
1615780843,107,59
1615784475,81,71
1615788039,71,109
1615791643,83,82
1615795244,83,76
1615798874,89,73
1615802473,83,84
1615806043,92,133
1615809673,59,73
1615813276,63,72
1615816844,68,57
1615820439,81,43
1615824045,66,73
1615827669,88,64
1615831275,80,46
1615834874,66,45
1615838445,64,45
1615842046,59,61
1615845677,77,103
1615849246,53,95
1615852877,60,62
1615856477,68,73
1615860046,79,125
1615863645,76,77
1615867276,67,68
1615870845,49,63
1615874477,59,60
1615878077,73,67
1615881677,81,79
1615885246,139,84
1615888845,399,60
1615892478,106,56
1615896077,83,72
1615899676,59,78
1615903246,65,66
1615906878,69,54
1615910477,61,58
1615914077,67,54
1615917677,54,53
1615921277,68,55
1615924846,58,56
1615928478,60,52
1615932077,51,69
1615935646,61,58
1615939245,69,74
1615942871,62,64
1615946478,79,66
1615950077,67,104
1615953666,75,72
1615957239,81,57
1615960845,98,66
1615964443,75,95
1615968065,97,79
1615971644,99,74
1615975244,69,67
1615978877,66,68
1615982474,62,59
1615986041,59,67
1615989643,66,59
1615993243,71,53
1615996877,58,59
1616000475,66,50
1616004044,47,58
1616007668,50,66
1616011244,61,52
1616014843,60,52
1616018477,74,78
1616022041,74,69
1616025677,55,58
1616029244,55,41
1616032876,109,78
1616036445,69,86
1616040074,80,65
1616043643,71,63
1616047278,67,80
1616050874,83,71
1616054442,85,63
1616058041,77,55
1616061644,65,78
1616065277,55,54
1616068842,54,59
1616072474,69,86
1616076074,48,74
1616079644,49,59
1616083275,61,59
1616086877,63,85
1616090440,63,59
1616094076,60,48
1616097642,60,55
1616101276,73,53
1616104841,84,71
1616108472,58,61
1616112074,63,57
1616115639,73,48
1616119242,90,79
1616122842,76,88
1616126476,76,80
1616130074,70,71
1616133674,67,57
1616137274,82,97
1616140840,97,76
1616144475,90,90
1616148075,71,89
1616151674,63,88
1616155275,69,66
1616158876,53,78
1616162442,2548,74
1616166040,626,65
1616169644,155,66
1616173240,43,57
1616176869,50,58
1616180474,67,64
1616184042,60,65
1616187675,90,55
1616191271,108,80
1616194842,85,78
1616198475,80,77
1616202072,68,55
1616205642,70,68
1616209240,80,84
1616212842,84,66
1616216478,73,48
1616220078,70,62
1616223674,83,56
1616227240,62,49
1616230846,69,55
1616234474,101,53
1616238045,70,60
1616241671,78,87
1616245277,58,55
1616248841,65,64
1616252443,67,63
1616256041,57,44
1616259671,64,46
1616263241,44,48
1616266844,49,65
1616270440,62,37
1616274041,80,43
1616277679,43,50
1616281245,66,41
1616284847,91,49
1616288475,80,66
1616292041,67,63
1616295644,64,67
1616299243,73,45
1616302874,79,59
1616306443,71,62
1616310077,75,50
1616313642,76,62
1616317247,85,87
1616320872,55,85
1616324443,92,66
1616328077,78,119
1616331680,81,60
1616335246,66,49
1616338842,70,62
1616342478,37,66
1616346078,51,93
1616349672,164,83
1616353279,238,66
1616356880,152,69
1616360475,160,105
1616364079,178,77
1616367681,120,76
1616371245,112,75
1616374841,105,107
1616378446,130,108
1616382079,103,111
1616385641,107,85
1616389246,91,84
1616392842,113,73
1616396445,120,93
1616400046,105,90
1616403672,99,111
1616407246,152,80
1616410879,90,107
1616414478,94,74
1616418043,72,80
1616421679,82,79
1616425277,72,84
1616428879,74,65
1616432468,70,81
1616436077,70,77
1616439645,64,63
1616443272,67,62
1616446842,72,52
1616450447,96,72
1616454044,50,59
1616457643,78,75
1616461279,64,71
1616464846,75,78
1616468479,87,98
1616472079,87,67
1616475678,64,65
1616479245,72,75
1616482876,64,90
1616486477,85,93
1616490041,87,110
1616493679,93,450
1616497273,77,111
1616500879,103,78
1616504443,79,82
1616508077,79,80
1616511679,69,73
1616515279,63,72
1616518879,58,73
1616522443,49,55
1616526080,62,84
1616529645,56,60
1616533277,67,72
1616536846,80,57
1616540490,73,63
1616544077,98,76
1616547647,108,75
1616551280,94,97
1616554859,114,75
1616558447,77,87
1616562102,86,66
1616565646,91,77
1616569243,79,78
1616572886,75,102
1616576442,90,100
1616580071,75,80
