DateTime,AddedIPs,RemovedIPs
1616506234,3,0
1616506535,2,0
1616506833,2,0
1616507139,1,0
1616507436,3,0
1616507733,4,0
1616508041,4,0
1616508335,4,0
1616508632,4,0
1616508935,4,0
1616509235,4,0
1616509534,7,0
1616509840,7,0
1616510132,7,0
1616510434,3,0
1616510740,3,0
1616511036,6,0
1616511332,2,0
1616511639,7,0
1616511934,8,0
1616512233,9,0
1616512540,10,0
1616512835,5,0
1616513439,9,0
1616513732,7,0
1616514032,1,0
1616514340,2,0
1616514632,4,0
1616514934,1,0
1616515241,2,0
1616515532,3,0
1616515834,1,0
1616516139,4,0
1616516434,3,0
1616516734,2,0
1616517038,2,0
1616517336,2,0
1616517633,2,0
1616517939,1,0
1616518237,1,0
1616518531,1,0
1616518835,4,0
1616519137,4,0
1616519432,6,0
1616519735,3,0
1616520033,3,0
1616520334,1,0
1616520636,3,0
1616520933,3,0
1616521234,4,0
1616521536,3,0
1616521834,1,0
1616522134,1,0
1616522438,2,0
1616522737,2,0
1616523032,2,0
1616523336,6,0
1616523933,1,0
1616524237,4,0
1616524532,3,0
1616524832,5,0
1616525140,4,0
1616525435,4,0
1616525732,4,0
1616526036,5,0
1616526336,2,0
1616526632,2,0
1616526938,3,0
1616527232,2,0
1616527535,3,0
1616527836,4,0
1616528133,2,0
1616528433,4,0
1616528740,3,0
1616529037,1,0
1616529331,2,0
1616529636,1,0
1616529938,1,0
1616530232,3,0
1616530537,1,0
1616530833,3,0
1616531133,1,0
1616531438,1,0
1616531731,3,0
1616532034,5,0
1616532341,5,0
1616532632,7,0
1616532931,4,0
1616533241,5,0
1616533536,3,0
1616533832,2,0
1616534135,3,0
1616534433,2,0
1616534733,2,0
1616535034,3,0
1616535333,4,0
1616535633,5,0
1616535935,7,0
1616536236,3,0
1616536533,6,0
1616536837,2,0
1616537137,6,0
1616537736,7,0
1616538031,6,0
1616538333,1,0
1616538636,3,0
1616538934,3,0
1616539233,2,0
1616539832,3,0
1616540132,2,0
1616540442,4,0
1616540737,4,0
1616541033,5,0
1616541338,2,0
1616541634,5,0
1616541932,2,0
1616542241,3,0
1616542532,2,0
1616542834,2,0
1616543137,5,0
1616543435,3,0
1616543731,5,0
1616544039,1,0
1616544335,3,0
1616544633,5,0
1616544937,3,0
1616545232,2,0
1616545536,1,0
1616545835,3,0
1616546134,5,0
1616546435,1,0
1616546738,4,0
1616547035,1,0
1616547332,6,0
1616547935,8,0
1616548538,2,0
1616549133,4,0
1616549435,2,0
1616549732,2,0
1616550033,3,0
1616550633,5,14
1616551240,4,0
1616551535,1,0
1616551835,6,0
1616552138,1,0
1616552433,1,0
1616552734,4,0
1616553036,2,0
1616553633,4,0
1616553936,3,0
1616554241,1,0
1616554838,4,0
1616555737,3,0
1616556332,8,0
1616556638,2,0
1616556932,1,0
1616557232,4,0
1616557539,2,0
1616557834,2,0
1616558134,3,0
1616558439,8,0
1616558737,4,0
1616559034,4,0
1616559338,4,0
1616559631,1,0
1616560235,3,0
1616560534,4,0
1616560884,1,0
1616561144,2,0
1616561432,3,0
1616561732,2,0
1616562039,3,0
1616562333,3,0
1616562937,8,0
1616563232,1,0
1616563533,3,0
1616563839,3,0
1616564132,4,0
1616564435,5,0
1616564734,2,0
1616565035,6,0
1616565640,1,0
1616565939,4,0
1616566231,1,0
1616566537,3,0
1616566834,3,0
1616567133,2,0
1616567438,1,0
1616567733,2,0
1616568034,2,0
1616568342,3,0
1616568633,4,0
1616568932,4,0
1616569237,3,0
1616569533,6,0
1616569835,2,0
1616570137,3,0
1616570432,3,0
1616570751,3,0
1616571038,3,0
1616571332,4,0
1616571634,5,0
1616571937,4,0
1616572239,3,0
1616572531,1,0
1616572836,3,0
1616573136,2,0
1616573432,4,0
1616597732,2,0
1616598097,2,0
1616598713,2,0
1616598941,5,0
1616599277,4,0
1616599643,6,0
1616599842,3,0
1616600141,4,9
1616600473,6,0
1616601037,6,0
1616601334,4,0
1616601641,4,0
1616602062,3,0
1616602303,4,0
1616602540,4,0
1616602909,2,0
1616603440,6,0
1616603741,3,0
1616604033,4,0
1616604463,7,0
1616604639,3,0
1616604932,1,0
1616605246,4,0
1616605670,3,0
1616605898,1,0
1616606141,3,0
1616606528,4,0
1616606859,2,0
1616607039,1,0
1616607338,3,0
1616607668,3,0
1616608237,6,0
1616608532,7,0
1616608962,6,0
1616609434,4,0
1616609815,1,0
1616610113,2,0
1616610434,3,0
1616610639,2,0
1616610934,3,0
1616611267,1,0
1616617060,0,1
1616617283,0,1
1616626557,5,0
1616626889,5,0
1616627432,5,0
1616627734,2,0
1616628032,5,0
1616628640,7,0
1616628945,8,0
1616629236,3,0
1616629837,2,0
1616630138,2,0
1616630502,3,0
1616630774,4,0
1616631062,4,0
1616631341,4,0
1616632059,6,1
1616632239,3,0
1616632535,1,0
1616632879,6,0
1616633437,3,0
1616633749,3,0
1616634146,6,0
1616634633,5,0
1616635115,3,0
1616635279,1,0
1616635677,3,0
1616635842,1,0
1616636136,2,0
1616636432,4,0
1616636850,4,0
1616637038,4,0
1616637337,1,0
1616637670,4,0
1616638232,11,0
1616638539,1,0
1616638904,1,0
1616639255,3,0
1616639439,1,0
1616639734,3,0
1616640103,6,0
1616640445,6,0
1616640641,5,0
1616640932,1,0
1616641289,1,0
1616641673,1,0
1616641833,2,0
1616642144,4,0
1616642468,1,0
1616643040,4,0
1616643366,4,0
1616643727,4,0
1616644052,4,0
1616644248,2,0
1616644534,2,0
1616644895,3,0
1616645434,5,0
1616645789,4,0
1616646468,3,0
1616646640,4,0
1616646967,3,0
1616647283,3,0
1616647838,2,0
1616648132,4,0
1616648447,2,0
1616649031,1,0
1616649340,1,0
1616649634,4,0
1616650027,1,0
1616650240,2,0
1616650589,4,0
1616650882,5,0
1616651267,3,0
1616651491,5,0
1616651755,2,0
1616652041,3,0
1616652634,8,0
1616652939,4,0
1616653313,3,0
1616653839,6,0
1616654180,3,0
1616654557,4,0
1616678436,0,1
1616696434,1,0
1616713534,0,14
1616761840,1,0
1616762136,2,0
1616762480,3,0
1616763038,5,0
1616763332,3,0
1616763705,3,0
1616764234,9,0
1616764621,3,0
1616764909,3,0
1616765252,3,0
1616765445,3,0
1616765735,3,0
1616770900,0,1
1616771432,5,0
1616771793,2,0
1616772098,2,0
1616772362,6,4
1616772640,3,0
1616772936,1,0
1616773272,4,0
1616773629,6,0
1616773852,2,0
1616774132,1,0
1616774521,3,0
1616775034,3,0
1616775431,2,0
1616775755,4,0
1616775973,1,1
1616776239,3,3
1616776534,4,0
1616776833,2,0
1616777278,2,0
1616777442,2,0
1616778041,3,0
1616778478,3,0
1616778632,2,0
1616778939,2,0
1616779285,2,0
1616779839,3,0
1616780175,3,0
1616780435,3,1
1616780851,5,0
1616781041,2,0
1616781334,4,0
1616781740,2,0
1616782076,2,0
1616782234,7,0
1616782540,5,0
1616782911,5,0
1616783440,9,0
1616783739,4,0
1616784067,4,0
1616784447,6,0
1616784636,3,0
1616784946,5,0
1616785239,2,0
1616785536,3,0
1616785910,4,0
1616786150,4,0
1616786433,4,0
1616787041,9,0
1616787338,4,0
1616787672,3,0
1616788055,2,0
1616788240,4,0
1616788943,5,0
1616789433,10,0
1616790034,6,0
1616790333,5,0
1616790932,5,0
1616791321,4,0
1616791837,6,0
1616792147,3,0
1616792562,5,0
1616793034,9,0
1616793339,4,0
1616793633,2,0
1616793934,2,0
1616794325,5,0
1616794540,5,0
1616794897,2,0
1616795226,2,0
1616795437,2,0
1616795736,3,0
1616796047,7,0
1616796634,4,0
1616796940,3,0
1616797269,3,0
1616797636,1,0
1616797840,4,0
1616798135,2,0
1616798511,5,0
1616798855,3,0
1616799037,2,0
1616799334,3,0
1616799729,6,0
1616800232,11,0
1616800584,2,0
1616800918,4,0
1616801134,3,0
1616801441,1,0
1616801834,4,0
1616802173,4,0
1616802637,4,0
1616802933,4,0
1616803242,6,0
1616803834,9,0
1616804214,5,0
1616804524,5,0
1616805041,4,0
1616805372,4,0
1616805671,5,0
1616806062,2,0
1616806237,3,0
1616806535,5,0
1616806935,3,0
1616807249,3,0
1616807436,5,0
1616807739,1,0
1616808036,3,0
1616808640,7,0
1616808934,3,0
1616809232,4,0
1616809664,6,0
1616809852,6,0
1616810131,4,0
1616810524,4,0
1616810860,1,0
1616811032,3,0
1616811340,8,0
1616811634,7,0
1616812242,6,0
1616812534,3,0
1616812877,4,0
1616813433,8,0
1616813731,2,0
1616814094,4,0
1616814632,6,0
1616814949,5,0
1616815234,5,0
1616815532,2,0
1616816133,9,0
1616816447,5,0
1616817036,6,0
1616817332,4,0
1616817648,6,0
1616838033,6,0
1616838337,5,0
1616838637,3,0
1616838933,3,0
1616839245,2,0
1616839833,10,0
1616840139,5,0
1616840432,3,0
1616840732,3,0
1616841039,2,0
1616841332,7,0
1616841634,6,0
1616841939,1,0
1616842233,3,0
1616842533,1,0
1616842840,2,0
1616843432,3,0
1616843741,7,0
1616844035,5,0
1616844332,3,0
