DateTime,AddedIPs,RemovedIPs
1613110082,744,744
1613118002,583,583
1613133362,424,424
1613141043,187,187
1613152875,171,171
1613164562,138,138
1613176083,101,101
1613187602,1000,1000
1613202962,649,649
1613210475,506,506
1613221922,163,163
1613229602,62,62
1613233443,193,193
1613244962,150,150
1613256482,138,138
1613264163,121,1000
1613283362,988,109
1613291043,640,640
1613298722,279,279
1613310242,219,219
1613314082,226,226
1613325613,184,184
1613340962,193,193
1613344802,77,77
1613348643,77,77
1613352723,64,1000
1613356562,963,27
1613368082,812,812
1613379612,583,583
1613391371,407,407
1613402882,200,200
1613414403,143,143
1613425922,131,131
1613437443,102,102
1613441283,1000,1000
1613456642,808,808
1613464322,638,638
1613468162,163,163
1613479682,410,410
1613487362,189,189
1613499122,147,147
1613510643,126,126
1613529842,995,995
1613541362,807,807
1613552882,505,505
1613556722,160,160
1613560562,160,160
1613564402,431,431
1613568243,325,325
1613572084,325,325
1613575923,212,212
1613587442,168,168
1613598962,101,101
1613614323,994,994
1613626082,822,822
1613633762,261,261
1613637603,302,302
1613641443,302,302
1613649363,302,302
1613653212,334,334
1613660883,252,252
1613672402,180,180
1613684162,118,118
1613699763,124,124
1613703843,999,999
1613715362,769,769
1613723043,230,230
1613738403,477,477
1613742242,166,166
1613749922,185,185
1613757629,214,214
1613769123,130,130
1613780882,114,114
1613792402,994,994
1613804162,743,743
1613811843,200,200
1613815683,457,457
1613819522,132,132
1613823371,132,132
1613827202,216,216
1613831043,83,83
1613838723,187,187
1613850242,146,146
1613861762,170,170
1613869442,29,29
1613873283,997,997
1613880963,47,951
1613884803,995,91
1613888642,306,306
1613896322,490,490
1613904243,147,147
1613908322,428,428
1613919843,174,174
1613923923,87,87
1613927762,87,87
1613931842,251,251
1613935685,61,61
1613939523,61,61
1613943362,176,176
1613947202,48,48
1613951042,48,48
1613955122,168,168
1613958962,40,40
1613962812,997,997
1613970723,828,828
1613982242,463,463
1613993762,341,341
1614009362,181,181
1614017042,130,130
1614028562,127,127
1614044162,124,124
1614048002,997,997
1614059522,816,816
1614063363,220,220
1614067213,220,220
1614071042,220,220
1614074883,314,314
1614078722,78,78
1614082571,236,236
1614094083,190,190
1614105844,128,128
1614109922,74,74
1614113763,74,74
1614117612,74,74
1614121442,170,170
1614125283,71,71
1614129123,184,184
1614132962,993,993
1614148322,783,783
1614152162,225,225
1614159842,413,413
1614167522,140,140
1614171677,254,254
1614175442,254,254
1614179282,254,254
1614183123,125,125
1614186962,125,125
1614190802,125,125
1614194642,158,158
1614198482,158,158
1614202322,314,314
1614213843,46,46
1614221522,995,995
1614236884,857,857
1614240728,252,252
1614244562,466,466
1614248402,112,112
1614252243,112,112
1614256083,112,112
1614263762,342,342
1614267602,126,126
1614271443,126,126
1614275282,199,199
1614279122,115,115
1614286875,86,86
1614298325,83,83
1614306243,999,999
1614317762,778,778
1614329282,241,241
1614333122,493,493
1614340812,199,199
1614344642,436,436
1614348723,68,68
1614352563,68,68
1614356402,68,68
1614360242,160,160
1614364082,130,130
1614375602,92,92
1614379443,40,40
1614383283,40,40
1614387122,227,227
1614390962,47,47
1614394813,47,47
1614398643,47,47
1614402482,996,996
1614410403,663,663
1614421922,472,472
1614429602,137,137
1614437282,240,240
1614444963,200,200
1614460562,171,171
1614472082,106,106
1614479761,162,1000
1614487442,921,83
1614491282,721,721
1614498963,300,300
1614506883,442,442
1614518403,259,259
1614526082,286,286
1614533762,89,89
1614537602,185,185
1614541443,105,105
1614545282,210,210
1614549122,78,78
1614552963,78,78
1614556817,78,78
1614560882,136,136
1614564722,997,997
1614580322,807,807
1614588003,497,497
1614599522,422,422
1614603363,269,269
1614607213,364,364
1614611042,228,228
1614614883,228,228
1614618722,271,271
1614626403,86,86
1614634082,41,41
1614641762,79,79
1614645843,82,82
1614649682,24,24
1614653522,999,999
1614665042,819,819
1614680643,504,504
1614688562,310,310
1614692403,310,310
1614696242,310,310
1614707762,311,311
1614719523,38,38
1614731044,18,18
1614734883,62,62
1614738722,1000,1000
1614754322,833,833
1614762013,342,342
1614765842,266,266
1614773772,173,173
1614781443,47,47
1614785282,105,105
1614792963,105,105
1614796802,157,157
1614812162,170,170
1614819842,147,147
1614827522,999,999
1614839043,622,622
1614842883,622,622
1614846723,622,622
1614854402,493,493
1614869763,343,343
1614873676,176,176
1614885123,176,176
1614888962,313,313
1614892802,33,33
1614896642,33,33
1614900482,81,81
1614904322,60,60
1614919922,1000,1000
1614927608,741,741
1614931442,533,533
1614935283,172,172
1614939123,172,172
1614943204,459,459
1614946444,266,266
1614954003,60,60
1614957843,60,60
1614961682,155,155
1614969362,67,67
1614973442,115,115
1614977282,60,60
1614992646,127,127
1614996963,131,1000
1615004882,959,90
1615016645,864,864
1615020482,137,137
1615024322,137,137
1615028163,429,429
1615036325,215,215
1615040163,77,77
1615044243,77,77
1615048083,77,77
1615051922,166,166
1615059843,83,83
1615067522,42,42
1615075204,93,93
1615086963,232,1000
1615095123,913,145
1615098962,779,779
1615102802,262,262
1615110483,533,533
1615114323,185,185
1615125842,476,476
1615130163,104,104
1615134243,353,353
1615146002,171,171
1615153682,144,144
1615161362,98,98
1615170003,1000,1000
1615181762,822,822
1615197362,498,498
1615201442,108,108
1615209602,347,347
1615217762,221,221
1615221602,327,327
1615233123,110,110
1615244642,179,179
1615255564,1000,1000
1615274642,831,831
1615278482,280,280
1615282323,609,609
1615290002,180,180
1615293843,180,180
1615297682,180,180
1615301522,106,106
1615309274,186,186
1615313042,44,44
1615324802,73,73
1615328642,128,128
1615332483,90,90
1615336323,90,90
1615340162,103,103
1615344003,1000,1000
1615355762,669,669
1615359640,669,669
1615363442,669,669
1615367524,492,492
1615379042,184,184
1615394402,319,319
1615405922,110,110
1615409763,248,248
1615417442,110,110
1615421522,48,48
1615429202,1000,1000
1615444561,860,860
1615456082,385,385
1615471442,293,293
1615486802,229,229
1615490643,158,158
1615494482,92,92
1615498322,127,127
1615502162,112,112
1615509843,43,43
1615513682,84,84
1615517522,997,997
1615532642,816,816
1615540322,475,475
1615544162,302,302
1615548002,497,497
1615551843,154,154
1615555682,154,154
1615559523,154,154
1615563362,222,222
1615571043,41,41
1615578722,117,117
1615586412,113,113
1615590242,23,23
1615594083,117,117
1615597923,29,29
1615605603,29,29
1615609442,997,997
1615617362,2,2
1615621202,684,684
1615632722,331,331
1615640413,278,278
1615651923,239,239
1615659602,160,160
1615663442,211,211
1615667282,92,92
1615678803,64,64
1615688402,999,999
1615692243,76,929
1615699923,990,137
1615711443,315,315
