DateTime,AddedIPs,RemovedIPs
1616494324,4,0
1616494923,3,0
1616495582,4,0
1616496124,1,0
1616497329,50,41
1616498523,1,0
1616499724,34,0
1616500923,47,25
1616502124,14,1
1616502781,36,0
1616503324,7,0
1616503924,1,0
1616504524,7,0
1616505124,33,0
1616505723,2,0
1616506282,34,36
1616506382,5,0
1616506924,2,0
1616507523,12,0
1616508724,4,0
1616509323,1,0
1616509982,28,26
1616510523,10,0
1616511723,8,0
1616512323,4,0
1616512924,6,0
1616514723,11,0
1616515292,24,27
1616515923,7,0
1616517181,7,0
1616517724,3,0
1616518324,2,0
1616518924,29,46
1616520123,4,0
1616520691,35,36
1616521924,9,0
1616522524,1,0
1616523123,4,0
1616523724,4,0
1616524283,23,24
1616524381,3,0
1616524923,1,0
1616526124,0,1
1616526724,5,0
1616527324,3,0
1616528523,4,0
1616529380,1177,354
1616529742,33,34
1616530324,6,0
1616530924,1,0
1616531582,27,28
1616532124,5,0
1616532723,6,0
1616533324,1,0
1616533924,4,0
1616534523,9,0
1616535084,30,27
1616535724,11,0
1616536324,4,0
1616536924,10,0
1616538124,1,0
1616538724,2,0
1616539324,2,0
1616539924,12,0
1616540524,29,32
1616541723,5,1
1616542266,30,19
1616542924,6,0
1616543523,1,0
1616544124,68,20
1616544724,4,0
1616545323,2,0
1616546523,29,0
1616547124,6,0
1616547724,26,0
1616548324,4,0
1616548923,10,0
1616549476,66,26
1616549581,1,0
1616550124,2,0
1616551324,6,0
1616551924,6,0
1616552524,3,0
1616553124,15,0
1616553632,23,40
1616553724,7,0
1616554324,4,0
1616554923,6,0
1616555524,3,0
1616556123,6,0
1616556667,44,53
1616557324,9,0
1616559724,4,0
1616560282,57,61
1616560325,2,0
1616560924,15,0
1616562123,62,51
1616562723,3,0
1616563324,2,0
1616564523,7,0
1616565124,3,0
1616565724,6,0
1616566923,2,0
1616567524,40,38
1616568123,3,0
1616569924,27,0
1616570610,2,0
1616571068,30,34
1616571724,1,0
1616572324,2,0
1616572924,34,30
1616573523,10,0
1616574124,4,0
1616575324,3,0
1616576524,61,51
1616577123,2,0
1616577724,4,0
1616578278,31,23
1616578324,6,0
1616579523,2,0
1616580124,3,0
1616581323,4,0
1616582524,5,1
1616583123,9,1
1616583806,28,25
1616584323,4,0
1616585582,32,28
1616586124,2,0
1616586724,15,0
1616587324,7,0
1616588276,1,0
1616588524,6,0
1616589075,37,31
1616589723,7,0
1616590323,7,0
1616590924,35,28
1616591523,3,0
1616592124,5,0
1616592724,4,0
1616592781,2,0
1616593323,2,0
1616593924,1,0
1616594524,3,0
1616595124,2,0
1616595723,1,0
1616596306,24,22
1616596381,1,0
1616596924,6,0
1616597523,5,0
1616598123,5,0
1616598723,17,0
1616599324,3,0
1616599872,27,32
1616599981,2,0
1616600524,9,0
1616601123,14,0
1616601723,3,0
1616602323,1,0
1616602924,9,0
1616603524,24,36
1616603581,3,0
1616604123,5,0
1616605324,4,0
1616605923,3,0
1616606523,8,0
1616607083,34,28
1616607723,1,0
1616608923,7,0
1616609524,5,0
1616610782,1,0
1616611323,4,0
1616611923,3,0
1616612523,35,37
1616613124,4,1
1616614274,25,26
1616614543,19,0
1616614923,5,0
1616615524,3,0
1616616123,16,0
1616616771,1131,374
1616617323,17,0
1616617924,33,36
1616618021,1,0
1616619723,15,0
1616620923,5,0
1616621582,5,0
1616622124,1,0
1616622724,5,0
1616623347,42,25
1616623923,4,0
1616624523,1,0
1616625124,6,0
1616625182,26,27
1616625724,2,0
1616626323,27,0
1616626924,7,0
1616628124,17,0
1616628676,25,30
1616629324,7,0
1616629923,5,0
1616630524,5,0
1616631724,10,0
1616632924,4,0
1616633524,6,0
1616634124,120,59
1616634723,3,0
1616635323,5,0
1616635982,6,1
1616636524,1,0
1616637123,12,0
1616637723,8,0
1616638323,0,1
1616639478,26,32
1616640123,6,0
1616640723,2,0
1616641324,59,61
1616641923,10,0
1616642523,5,0
1616643123,2,0
1616643181,2,1
1616643724,8,0
1616644324,2,0
1616644923,2,0
1616646123,7,0
1616646724,53,62
1616647323,2,0
1616648523,2,0
1616649724,6,0
1616650324,61,64
1616650924,1,0
1616651523,4,0
1616652123,46,33
1616652724,2,0
1616653323,4,0
1616653924,33,43
1616654068,2,0
1616654524,1,0
1616655724,45,33
1616656924,7,0
1616657525,28,34
1616658124,0,1
1616659324,1,0
1616660524,7,0
1616661181,49,29
1616662323,18,0
1616663524,14,0
1616664123,7,0
1616664666,27,27
1616664972,1,0
1616665324,7,0
1616666523,18,0
1616667124,5,0
1616667723,11,0
1616668403,20,24
1616668924,4,0
1616669524,9,0
1616670124,18,1
1616671324,9,0
1616671981,24,37
1616672524,14,0
1616673124,4,0
1616673723,5,0
1616674924,6,0
1616675723,32,39
1616676124,6,0
1616677324,2,0
1616677924,10,0
1616678524,7,0
1616679124,45,31
1616679724,5,0
1616680323,7,0
1616680924,2,0
1616681677,1,0
1616682123,7,0
1616683324,5,0
1616684471,33,23
1616684524,12,0
1616685124,10,0
1616685724,2,0
1616686382,6,0
1616686923,10,0
1616688123,57,28
1616689323,1,0
1616689924,31,47
1616690524,3,0
1616691226,1,0
1616691724,13,0
1616692324,1,0
1616692924,5,0
1616693581,32,28
1616694124,21,0
1616694723,2,0
1616695323,5,0
1616695924,2,0
1616696524,1,0
1616697181,2,0
1616697723,4,0
1616698869,33,25
1616699523,15,0
1616700123,6,0
1616700708,29,28
1616700782,2,0
1616701323,1,0
1616701923,6,0
1616702524,14,0
1616703124,2,0
1616703888,1086,465
1616704268,25,40
1616704381,10,0
1616704924,11,0
1616705523,7,0
1616706723,6,0
1616707981,11,1
1616708524,8,0
1616709124,1,0
1616709724,32,31
1616710324,16,0
1616710923,2,0
1616711508,26,20
1616711581,1,0
1616712124,5,0
1616712723,8,0
1616713323,1,0
1616713923,3,0
1616715069,36,29
1616715181,3,0
1616715724,12,0
1616716924,56,32
1616717524,4,0
1616718124,17,0
1616718781,3,1
1616719324,1,0
1616719923,5,0
1616720817,1,0
1616721124,3,1
1616721724,5,0
1616722267,62,25
1616723524,9,0
1616724724,1,0
1616725323,4,0
1616725868,32,36
1616726524,6,0
1616727724,15,0
1616728324,7,0
1616728924,7,0
1616729524,6,0
