DateTime,AddedIPs,RemovedIPs
1616350810,255,0
1616350821,298,30
1616352068,47,13
1616352132,179,61
1616353922,53,16
1616354171,183,27
1616355245,181,59
1616355860,20,9
1616356891,115,13
1616357764,35,23
1616358126,256,0
1616358321,111,34
1616358845,48,40
1616359683,20,14
1616361619,36,11
1616362446,328,95
1616363523,22,5
1616365462,193,63
1616366045,134,52
1616367363,21,10
1616368589,134,54
1616369282,10,12
1616369645,95,47
1616371248,274,0
1616372615,255,0
1616373124,18,14
1616373280,202,118
1616375053,18,11
1616376295,176,68
1616376985,20,12
1616377597,33,59
1616378888,14,8
1616380809,183,78
1616381405,88,60
1616382741,15,15
1616384061,164,84
1616384646,16,6
1616386564,11,18
1616387644,171,96
1616388500,15,10
1616390404,11,9
1616390705,166,52
1616392339,7,11
1616392907,78,68
1616394263,12,9
1616394845,221,102
1616396164,16,17
1616398105,160,80
1616399198,64,49
1616400079,17,18
1616400105,76,50
1616401928,88,54
1616403868,18,12
1616405499,191,118
1616405764,21,11
1616406399,26,54
1616407926,13,11
1616408706,126,55
1616409850,46,58
1616411780,16,653
1616412130,148,73
1616413683,22,11
1616414506,43,125
1616415851,955,46
1616415904,76,0
1616416446,23,60
1616417766,17,11
1616418055,0,507
1616419705,124,74
1616420704,37,127
1616421605,16,11
1616421660,44,28
1616422559,0,256
1616423107,68,69
1616423527,11,13
1616423644,32,80
1616425469,12,10
1616426163,29,18
1616426705,47,44
1616427369,21,19
1616427762,22,289
1616429291,56,34
1616430669,56,38
1616431221,13,22
1616431570,26,44
1616432471,40,22
1616433125,22,20
1616434039,79,34
1616435051,32,51
1616436980,23,21
1616437878,87,27
1616439131,84,72
1616441044,11,13
1616441644,144,122
1616442965,17,16
1616444431,323,55
1616444884,13,20
1616445248,49,60
1616446899,8,22
1616447793,56,21
1616448727,70,37
1616448844,23,53
1616450655,13,13
1616451397,38,16
1616451983,52,72
1616452581,12,13
1616453201,34,39
1616454492,77,80
1616456421,13,13
1616456801,78,67
1616457715,32,68
1616458330,307,0
1616458600,0,256
1616460247,53,11
1616460604,64,56
1616462183,11,9
1616463004,86,22
1616463245,20,37
1616464085,12,16
1616464860,70,66
1616466024,5,7
1616466703,49,0
1616466845,33,61
1616467924,7,10
1616468231,70,29
1616469847,10,18
1616469905,58,34
1616470445,14,49
1616471781,14,15
1616473418,78,66
1616473692,9,15
1616474045,49,72
1616475617,9,19
1616475784,74,84
1616477544,6,13
1616477645,96,46
1616479454,11,16
1616480204,67,24
1616481368,68,59
1616482005,31,48
1616483548,116,83
1616484851,84,70
1616485446,23,11
1616487368,14,20
1616487407,89,95
1616487907,53,2
1616489302,36,81
1616491205,11,12
1616491804,106,72
1616492046,50,78
1616493124,23,17
1616493418,69,36
1616495060,15,11
1616495402,64,53
1616496963,9,14
1616497306,40,77
1616497422,36,42
1616498882,8,559
1616499376,76,90
1616500832,273,0
1616500913,0,767
1616501806,64,78
1616502723,10,11
1616503804,92,95
1616504655,7,8
1616506583,13,14
1616507205,104,131
1616508487,10,10
1616509494,0,508
1616510405,120,86
1616510823,42,91
1616512341,8,12
1616513106,56,46
1616514246,12,13
1616515316,42,109
1616516162,15,15
1616517246,77,101
1616518100,14,8
1616518386,34,18
1616520003,14,4
1616520272,30,296
1616520845,37,98
1616521924,17,12
1616522508,24,32
1616523861,11,8
1616524305,61,59
1616524444,50,106
1616525764,16,11
1616527004,113,67
1616527684,17,12
1616528716,53,96
1616529673,15,13
1616531524,58,76
1616531645,26,112
1616533450,10,10
1616535382,17,18
1616536005,99,87
1616537294,50,125
1616539207,91,155
1616541138,17,11
1616542444,1129,162
1616543049,7,15
1616544061,53,19
1616544966,260,0
1616545504,71,43
1616545883,0,256
1616546045,13,88
1616546902,5,8
1616547668,45,96
1616548805,7,9
1616550794,14,20
1616552646,8,9
1616554925,15,21
1616556745,10,10
1616558672,8,11
1616560603,17,12
1616562491,4,10
1616564421,12,10
1616566328,10,6
1616568247,8,11
1616570184,11,11
1616572084,15,10
1616574007,17,11
1616576044,17,11
1616577848,7,12
1616579766,5,14
1616581705,10,16
1616582045,204,1873
1616583616,8,9
1616583705,75,285
1616585526,9,586
1616585644,88,131
1616587471,270,0
1616587491,98,92
1616589369,102,106
1616591531,48,39
1616592291,72,54
1616592845,24,73
1616593448,16,8
1616594642,254,64
1616595624,24,10
1616596249,59,0
1616597527,13,8
1616598060,44,97
1616598421,0,12897
1616599447,92,90
1616600044,12845,0
1616601380,20,8
1616602313,67,87
1616603547,538,12
1616603645,61,0
1616605452,24,11
1616606521,70,157
1616607036,72,3
1616607366,35,12
1616607936,23,74
1616609546,63,37
1616610844,94,141
1616611446,16,15
1616613363,37,8
1616613879,116,73
1616615298,19,16
1616615405,77,85
1616617206,20,9
1616617830,68,53
1616618045,33,63
1616619139,22,14
1616619641,53,24
1616621043,29,12
1616621403,72,44
1616622966,26,19
1616623241,96,104
1616624900,11,11
1616625250,89,129
1616626804,20,14
1616628745,131,1103
1616629805,39,108
1616630656,259,0
1616632566,25,14
1616633145,101,124
1616634747,39,42
1616635142,0,67
1616636647,9,7
1616637005,0,80
1616638144,0,100
1616638567,19,7
1616639641,0,10743
1616640500,69,60
1616641248,10820,0
1616642404,14,10
1616643048,0,10830
1616643244,10889,0
1616644324,11,19
1616645397,99,93
1616645749,254,0
1616646261,9,8
1616648166,13,15
1616650102,14,8
1616650203,190,199
1616650444,16,82
1616652053,17,12
1616653309,0,10800
1616653947,10823,12
1616654961,53,151
1616655855,9,9
1616656234,0,10715
1616657783,94,76
1616658311,10679,0
1616659686,14,15
1616660148,91,54
1616661624,97,15
1616662151,60,139
1616663524,8,15
1616663820,65,92
1616665690,6,10662
1616666082,10590,0
1616667620,11,17
1616667992,39,68
1616669530,71,124
1616669627,59,30
1616671446,8,606
1616672044,63,153
1616673382,24,19
1616674876,100,115
1616675284,276,0
1616677221,101,150
1616678178,71,53
1616678566,501,0
1616679128,8,15
1616679248,37,98
1616681052,8,10
1616682135,64,44
1616682981,56,63
1616683531,39,89
1616684889,10,14
1616685331,47,97
1616686233,42,3
1616686804,12,8
1616688035,83,90
1616688739,7,15
1616688934,65,560
1616690645,11,14
1616690703,36,61
1616691636,29,20
1616692581,13,14
1616693140,76,46
1616694482,9,14
1616694604,60,145
1616696403,17,11
1616696576,40,80
1616697470,41,70
1616698339,10,12
1616698839,43,32
1616700244,15,14
1616700885,75,107
1616702177,11,13
1616703426,90,66
1616704084,6,17
1616705026,70,100
1616706032,14,19
1616706163,48,68
1616707924,5,6
1616708741,41,1
1616709006,53,90
1616709851,4,9
1616710682,61,50
1616711782,57,79
1616713942,80,88
1616715243,48,92
1616715846,11,12
1616717088,51,117
1616717764,263,0
1616718603,40,0
