DateTime,AddedIPs,RemovedIPs
1616454723,9,0
1616455323,9,0
1616456523,6,2
1616457123,4,0
1616457724,4,0
1616458323,3,0
1616458924,1,0
1616459581,8,0
1616460124,3,0
1616461324,14,0
1616461923,4,0
1616462523,14,0
1616463124,5,0
1616464324,6,0
1616464923,0,1
1616465523,5,0
1616466123,12,1
1616466724,3,0
1616467324,3,0
1616467923,2,1
1616468524,1,0
1616469123,3,0
1616469724,7,0
1616470323,2,0
1616470924,2,0
1616472123,5,0
1616473323,3,0
1616474524,1,0
1616475123,2,0
1616476323,5,0
1616476924,3,0
1616478124,1,0
1616478724,2,0
1616479323,9,0
1616480524,2,0
1616481723,14,0
1616482324,1,0
1616482924,7,0
1616483523,5,0
1616484123,2,0
1616485323,8,0
1616486523,6,0
1616487124,4,0
1616487724,7,0
1616489523,8,0
1616490123,3,0
1616490724,1,0
1616491324,11,2
1616491923,3,0
1616492523,8,0
1616493724,3,1
1616494324,4,0
1616494923,3,0
1616495582,4,0
1616496124,1,0
1616497323,8,0
1616498523,1,0
1616499724,34,0
1616500923,22,0
1616502124,14,1
1616502781,36,0
1616503324,7,0
1616503924,1,0
1616504524,7,0
1616505124,33,0
1616505723,2,0
1616506382,5,0
1616506924,2,0
1616507523,12,0
1616508724,4,0
1616509323,1,0
1616509982,5,0
1616510523,10,0
1616511723,8,0
1616512323,4,0
1616512924,6,0
1616514723,11,0
1616515923,7,0
1616517181,7,0
1616517724,3,0
1616518324,2,0
1616518924,4,0
1616520123,4,0
1616521924,9,0
1616522524,1,0
1616523123,4,0
1616523724,4,0
1616524381,3,0
1616524923,1,0
1616526124,0,1
1616526724,5,0
1616527324,3,0
1616528523,4,0
1616529380,1177,354
1616529724,3,0
1616530324,6,0
1616530924,1,0
1616531582,1,0
1616532124,5,0
1616532723,6,0
1616533324,1,0
1616533924,4,0
1616534523,9,0
1616535724,11,0
1616536324,4,0
1616536924,10,0
1616538124,1,0
1616538724,2,0
1616539324,2,0
1616539924,12,0
1616540524,6,0
1616541723,5,1
1616542924,6,0
1616543523,1,0
1616544124,11,0
1616544724,4,0
1616545323,2,0
1616546523,29,0
1616547124,6,0
1616547724,26,0
1616548324,4,0
1616548923,10,0
1616549581,1,0
1616550124,2,0
1616551324,6,0
1616551924,6,0
1616552524,3,0
1616553124,15,0
1616553724,7,0
1616554324,4,0
1616554923,6,0
