DateTime,AddedIPs,RemovedIPs
1615878728,98,64
1615880651,94,83
1615882576,95,70
1615884491,64,35
1615886403,69,85
1615888343,67,80
1615890243,79,59
1615892167,85,94
1615894096,72,4680
1615896019,2267,0
1615897923,137,137
1615899871,110,119
1615901764,137,116
1615903933,93,107
1615905844,90,94
1615907783,98,86
1615909683,98,95
1615911609,99,120
1615913538,112,92
1615915450,98,90
1615917364,106,101
1615919322,96,83
1615921215,144,80
1615923127,138,100
1615925065,123,92
1615926971,132,89
1615929126,125,90
1615931045,120,77
1615932978,140,90
1615934882,119,81
1615936802,117,95
1615938739,129,93
1615940645,1786,0
1615942563,84,105
1615944501,64,68
1615946447,92,68
1615948326,55,82
1615950267,57,45
1615952167,85,71
1615954329,72,91
1615956248,71,83
1615958177,87,86
1615960085,53,55
1615962005,84,75
1615963938,75,66
1615965845,67,70
1615967764,55,94
1615969698,80,70
1615971613,73,79
1615973524,70,70
1615975470,62,78
1615977365,101,77
1615979285,51,4996
1615981222,109,110
1615983129,2198,0
1615985048,92,132
1615986977,133,93
1615988884,87,78
1615990803,86,74
1615992740,119,87
1615994645,79,91
1615996562,111,100
1615998499,127,88
1616000408,81,75
1616002325,105,104
1616004267,92,94
1616006166,137,100
1616008328,130,131
1616010246,127,101
1616012180,77,98
1616014085,136,76
1616016002,189,75
1616017939,149,76
1616019844,116,94
1616021763,127,116
1616023700,109,81
1616025630,1802,0
1616027524,87,89
1616029468,77,65
1616031368,81,54
1616033287,91,58
1616035221,85,68
1616037128,85,57
1616039048,76,68
1616040991,95,77
1616042883,68,67
1616044804,84,75
1616046745,103,83
1616048645,70,73
1616050567,83,88
1616052503,71,94
1616054483,82,81
1616056324,72,83
1616058269,76,53
1616060165,80,74
1616062328,83,89
1616064246,88,98
1616066179,90,4598
1616068087,104,99
1616070485,1986,0
1616072493,116,108
1616074327,104,72
1616076269,88,79
1616078166,134,99
1616080085,88,69
1616082022,116,97
1616083928,92,62
1616085844,105,83
1616087784,120,101
1616089684,102,60
1616091602,61,84
1616093565,140,85
1616095446,95,76
1616097364,162,78
1616099298,118,83
1616101248,130,97
1616103123,112,67
1616105067,109,64
1616106965,97,104
1616108884,88,61
1616110821,144,97
1616112734,1576,0
1616114653,81,56
1616116579,94,72
1616118484,77,53
1616120407,86,61
1616122345,73,58
1616124246,80,61
1616126164,88,71
1616128102,68,54
1616130047,83,72
1616131926,82,64
1616133869,68,57
1616135765,84,73
1616137685,81,63
1616139621,88,66
1616141528,55,62
1616143452,63,70
1616145381,68,83
1616147286,82,60
1616149228,76,87
1616151143,79,66
1616153048,64,4661
1616154964,84,127
1616156900,2097,0
1616158816,109,114
1616160731,124,69
1616162669,94,84
1616164569,117,97
1616166491,85,82
1616168419,108,98
1616170326,70,72
1616172247,96,77
1616174424,156,121
1616176325,101,101
1616178246,112,79
1616180164,117,94
1616182325,100,107
1616184254,93,62
1616186181,133,93
1616188086,98,88
1616190246,109,93
1616192165,104,84
1616194102,73,87
1616196003,93,87
1616197925,118,108
1616199861,1750,0
1616201767,66,88
1616203687,73,51
1616205632,72,72
1616207526,89,64
1616209455,79,58
