DateTime,AddedIPs,RemovedIPs
1616355724,5,3
1616356924,6,1
1616357524,4,0
1616359324,2,0
1616360524,2,0
1616361124,2,0
1616361724,2,3
1616362324,1,1
1616362924,2,0
1616363524,1,0
1616364723,31,0
1616365924,5,0
1616366524,3,1
1616367124,1,0
1616368324,4,0
1616369524,4,1
1616370123,0,5
1616370724,1,1
1616371924,1,0
1616373124,2,1
1616373724,2,0
1616374924,4,1
1616376724,5,0
1616377324,4,0
1616378523,7,0
1616379124,1,5
1616380324,3,1
1616380924,4,0
1616382724,1,2
1616383924,4,25
1616384524,1,0
1616385723,4,8
1616386323,1,34
1616388724,1,9
1616391124,0,3
1616392323,2,0
1616393524,0,7
1616395324,4,5
1616396524,2,2
1616397723,3,2
1616398924,3,2
1616400123,1,0
1616401323,1,3
1616402523,0,2
1616403123,1,6
1616404923,2,0
1616406123,0,1
1616407323,1,1
1616408524,0,1
1616409724,1,2
1616410924,1,3
1616412124,27,0
1616412724,5,0
1616413324,10,0
1616414524,9,1
1616415124,5,0
1616415724,3,0
1616416324,2,0
1616417524,4,0
1616418124,1,0
1616418723,2,1
1616419924,3,1
1616421123,1,0
1616422324,3,1
1616423523,3,1
1616424123,1,0
1616425323,3,2
1616426524,1,1
1616427724,1,1
1616428323,1,0
1616429524,1,10
1616430124,1,0
1616430724,2,3
1616431923,1,5
1616433123,2,0
1616434324,4,6
1616434924,1,0
1616436123,2,1
1616437923,4,1
1616438523,4,0
1616439724,4,2
1616440324,3,0
1616440924,1,0
1616441524,2,4
1616442724,1,4
1616443323,1,0
1616443923,3,0
1616445124,3,1
1616446924,2,0
1616447524,1,2
1616448124,4,0
1616448724,1,0
1616449323,2,1
1616450523,1,8
1616451123,0,1
1616452324,1,2
1616454123,42,6
1616454723,1,0
1616455323,1,0
1616456523,1,7
1616457724,0,2
1616458323,0,3
1616460124,6,4
1616461324,3,1
1616462523,2,1
1616463124,0,8
1616464324,4,0
1616466123,2,7
1616467324,1,0
1616467923,0,8
1616468524,0,1
1616469724,1,3
1616470323,3,0
1616471523,2,0
1616472123,1,0
1616473323,1,1
1616474524,1,4
1616475123,1,0
1616476323,0,1
1616478124,3,0
1616478724,0,5
1616479923,0,22
1616481124,8,16
1616481723,11,12
1616482324,8,7
1616483523,3,0
1616484123,5,0
1616485323,10,1
1616486523,10,1
1616487124,5,0
1616488924,15,0
1616489523,2,0
1616490724,6,8
1616491324,7,2
1616491923,4,0
1616492523,3,0
1616493724,4,4
1616494324,1,4
1616495524,6,0
1616497323,7,3
1616497923,1,0
1616498523,1,0
1616499724,58,2
1616500923,31,1
1616502124,18,1
1616502724,46,0
1616503324,3,0
1616504524,41,1
1616505124,11,0
1616505723,8,3
1616507523,15,2
1616508724,13,4
1616510523,6,0
1616511723,9,2
1616512323,1,0
1616513524,12,0
1616514124,3,0
1616515923,2,0
1616517124,2,0
1616517724,2,0
1616518324,1,0
1616518924,1,0
1616520724,0,9
1616521324,0,7
1616522524,3,0
1616523123,1,0
1616524324,1,0
1616524923,1,1
1616526124,2,4
1616526724,2,0
1616527924,6,3
1616528523,2,0
1616529724,8,5
1616530324,2,3
1616530924,2,0
1616532124,1,9
1616532723,5,2
1616534523,6,1
1616535724,1,2
1616536324,1,8
1616538124,1,7
1616538724,1,0
1616539324,3,5
1616539924,4,1
1616540524,1,0
1616541723,2,1
1616542924,0,3
1616543523,2,0
1616544124,1,0
1616544724,0,3
1616545323,2,0
1616546523,4,7
1616547724,3,2
1616548324,1,0
1616548923,3,3
1616550124,2,0
1616551324,1,0
1616551924,2,3
1616553124,0,1
1616553724,1,2
1616554923,1,0
1616556123,1,1
1616557324,12,0
1616558524,0,2
1616559724,2,3
1616560924,3,1
1616562123,2,0
1616563923,1,0
1616565724,3,0
1616566923,3,4
1616567524,1,0
1616568123,2,3
1616569924,2,0
1616570523,2,0
1616571724,2,29
1616572924,1,14
1616573523,4,0
1616574124,2,3
1616575923,0,6
1616576524,2,0
1616577123,0,10
1616578324,2,3
1616579523,1,0
1616580724,2,0
1616581924,1,1
1616583123,13,0
1616583723,24,0
1616584924,20,1
1616586724,19,0
1616587324,12,0
1616588524,7,1
1616589723,15,0
1616590323,11,0
1616591523,5,3
1616592124,12,8
1616592724,6,0
1616593323,3,0
1616593924,6,2
1616595124,6,0
1616596324,4,8
1616596924,3,0
1616597523,1,0
1616598723,5,0
1616599924,5,7
1616601123,36,3
1616601723,4,7
1616602323,5,0
1616603524,10,0
1616604123,1,2
1616605324,3,7
1616605923,1,0
1616606523,1,0
1616607125,0,14
1616608923,4,0
1616610123,2,3
1616611323,2,0
1616611923,1,0
1616613124,6,11
1616613724,4,32
1616614324,6,0
1616615523,0,11
1616616123,2,0
1616616723,1,8
1616617924,5,10
1616619124,0,6
1616620923,4,0
1616622124,3,3
1616623323,5,0
1616623923,0,3
1616624523,1,2
1616625724,63,1
1616627524,3,3
1616628124,6,0
1616629324,5,1
1616629923,3,5
1616630524,0,1
1616631724,4,1
1616632924,3,5
1616633524,1,0
1616634124,1,0
1616634723,1,3
1616635323,1,0
1616636524,1,4
1616637123,3,0
1616637723,0,3
1616639524,1,0
1616640723,4,9
1616641923,0,2
1616643123,2,0
1616644324,0,10
1616644923,0,2
1616646724,1,4
1616647323,2,1
1616648523,4,0
1616649724,9,4
1616650324,1,0
1616650924,2,3
1616651523,1,0
1616652123,2,3
1616652724,3,0
1616653924,6,1
1616655124,1,0
1616655724,2,1
1616656323,2,1
1616657524,2,0
1616658124,1,7
1616659324,6,0
1616659923,2,0
1616660524,4,7
1616662323,7,3
1616662923,2,0
1616664123,1,2
1616664724,1,0
1616665324,1,0
1616666523,1,1
1616667723,2,0
1616668924,0,1
1616669523,6,0
1616670124,3,0
1616671324,5,1
1616672524,3,2
1616673124,0,1
1616674324,1,0
1616675524,1,0
1616676124,2,2
1616676723,1,7
1616677324,2,0
1616677924,0,19
1616678524,0,15
1616679724,4,1
1616680924,2,1
1616681524,0,1
1616683324,3,0
1616685124,1,8
1616685724,0,6
1616686324,2,16
1616686923,2,0
1616688123,3,0
1616688724,2,20
1616689924,1,0
1616690524,0,17
1616692324,3,0
1616692924,0,5
1616693524,0,3
1616694123,1,0
1616695323,2,6
1616695924,0,1
1616697124,5,1
1616698324,0,1
1616698923,1,0
1616700123,1,10
1616700724,1,0
1616701323,1,0
1616701923,0,2
1616702524,1,0
1616703124,1,7
1616704924,0,1
1616706124,2,0
1616706723,3,0
1616707924,1,5
1616709124,1,3
1616709724,0,4
1616710324,3,0
1616711525,1,0
1616712124,1,0
1616712723,2,17
1616713323,1,0
1616713923,1,9
1616714523,0,7
1616715724,8,0
1616716323,0,7
1616717524,5,5
1616718124,1,0
1616718724,0,2
1616719324,1,1
1616720524,1,8
1616721123,1,0
1616722324,0,2
1616724124,0,1
1616724724,0,1
1616725323,4,0
1616726523,0,5
1616728324,4,8
1616729524,5,3
1616731924,1,4
1616733124,1,0
1616734923,5,4
1616736724,3,0
1616737923,3,0
1616738523,1,0
1616739724,1,6
1616740324,0,4
1616742124,1,0
1616742724,1,0
1616743924,3,4
1616744523,0,1
1616745724,1,3
1616746324,2,0
1616747524,5,4
1616748724,0,2
1616749324,14,2
1616749923,12,7
1616751124,46,0
1616751724,2,4
1616752324,11,2
1616754124,5,1
1616754724,5,1
1616755924,6,0
1616757123,3,0
1616757724,6,0
1616758324,2,0
1616758923,3,0
1616760123,1,0
1616760723,5,0
1616762523,1,0
1616763123,1,0
1616764323,7,0
1616765524,1,16
1616766123,3,7
1616766724,1,0
1616767323,4,0
1616767923,1,0
1616768524,3,0
1616769124,5,0
1616770324,1,3
1616771523,2,0
1616773323,1,2
1616773924,1,0
1616777524,1,4
1616778723,1,15
1616779924,3,5
1616781723,2,1
1616782923,0,4
1616783523,5,0
1616785323,0,1
1616785923,1,3
1616787125,1,4
1616787724,1,5
1616788923,5,0
1616789524,0,5
1616790124,1,10
1616790724,1,0
1616791324,0,30
1616791923,5,0
1616792524,3,0
1616793124,1,6
1616794324,13,5
1616794923,6,0
1616795524,1,0
1616796724,7,4
1616797324,5,0
1616797924,0,1
1616798523,5,2
1616799124,3,5
1616800323,8,0
1616801524,1,2
1616802124,2,3
1616802724,1,0
1616803324,0,3
1616803924,2,0
1616805124,3,4
1616805724,3,0
1616806324,0,24
1616808724,6,0
1616809323,1,3
1616810524,43,2
1616811724,1,0
1616812924,4,0
1616813524,0,2
1616814724,2,2
1616815924,1,1
1616816524,7,7
1616818323,1,0
1616819524,1,6
1616820124,0,2
1616821324,2,0
1616821924,1,5
1616823125,3,1
1616824324,1,1
1616824924,2,0
1616825524,3,1
1616827324,2,1
1616827924,1,0
1616828524,1,5
1616829724,2,1
1616831524,3,9
1616832124,2,0
1616832723,0,11
1616833924,4,0
1616834524,5,0
1616836324,2,0
1616837524,1,0
1616838124,3,1
1616838724,4,0
1616839324,1,0
1616839924,0,4
1616841124,1,12
1616842324,1,7
1616843524,0,1
1616844124,2,3
