DateTime,AddedIPs,RemovedIPs
1614564903,224,0
1614568502,176,0
1614575701,265,0
1614582902,250,0
1614586502,125,0
1614590101,135,0
1614597302,286,0
1614600901,142,0
1614604502,150,0
1614608102,128,0
1614615301,364,0
1614618902,193,0
1614626102,349,0
1614630601,277,0
1614634202,134,0
1614637802,204,0
1614645001,267,2733
1614652201,300,0
1614655802,145,0
1614659402,125,0
1614663002,273,0
1614666602,172,0
1614670202,217,0
1614673802,156,0
1614677402,179,0
1614684602,352,0
1614688202,193,0
1614692702,215,0
1614696302,262,0
1614699902,163,0
1614703502,183,0
1614707102,175,0
1614710702,176,0
1614714302,163,0
1614717902,159,0
1614721502,120,0
1614725102,154,0
1614732302,260,3461
1614739502,407,0
1614746702,292,0
1614750302,126,0
1614753902,155,0
1614757502,177,0
1614761102,161,1
1614764702,156,0
1614768302,157,0
1614775502,375,0
1614779102,179,0
1614782702,209,0
1614786301,159,0
1614794403,360,0
1614798002,154,0
1614801602,142,0
1614805202,220,0
1614808802,110,0
1614812402,142,0
1614816003,127,4075
1614819603,132,0
1614823202,177,0
1614830402,259,0
1614834003,160,0
1614841202,284,0
1614848402,409,0
1614855603,341,0
1614859202,200,0
1614866403,439,0
1614870002,242,0
1614873603,172,0
1614877202,151,0
1614880803,188,0
1614884403,145,0
1614888002,155,0
1614891602,161,0
1614895202,149,0
1614898802,222,0
1614902403,114,3835
1614909602,325,0
1614917702,372,0
1614921302,132,0
1614924902,202,0
1614928502,321,0
1614932102,436,0
1614935702,179,0
1614939303,220,0
1614942902,175,0
1614946502,185,0
1614953702,422,0
1614960902,347,0
1614968102,292,0
1614971702,141,0
1614975302,150,0
1614982502,249,0
1614986102,86,0
1614989702,93,3955
1614996902,260,0
1615000502,129,0
1615004102,132,0
1615007702,103,0
1615011302,123,0
1615015802,226,0
1615019402,124,0
1615023002,157,0
1615026602,149,0
1615030202,129,0
1615037402,348,0
1615044602,311,0
1615048202,140,0
1615055402,269,0
1615062602,235,0
1615069801,227,0
1615077001,195,4387
1615080601,92,0
1615084202,77,0
1615087802,99,0
1615091401,175,0
1615095902,126,0
1615099502,217,0
1615103102,127,0
1615106701,117,0
1615110302,147,0
1615113902,146,0
1615121102,229,0
1615124702,128,0
1615131901,267,0
1615135502,133,0
1615139102,138,0
1615146302,282,0
1615149902,132,0
1615153502,102,0
1615160702,183,0
1615164301,124,3340
1615167902,118,0
1615175102,338,0
1615178702,224,0
1615182302,153,0
1615185902,176,0
1615189502,148,0
1615194002,227,0
1615197602,202,0
1615201203,207,0
1615204803,149,0
1615208402,181,0
1615212002,137,0
1615215602,183,0
1615219202,214,0
1615222802,185,0
1615226402,267,0
1615230003,250,0
1615233602,280,0
1615237202,220,0
1615240802,122,0
1615244402,108,0
1615248002,108,3146
1615251602,122,0
1615255202,118,0
1615262403,257,0
1615266002,138,0
1615269602,147,0
1615273202,147,0
1615276802,141,0
1615284002,404,0
1615287603,227,0
1615294802,333,0
1615298403,219,0
1615306501,411,0
1615310103,122,0
1615313702,143,0
1615317302,153,0
1615320902,126,0
1615328102,321,0
1615331702,108,0
1615338901,291,4036
1615342502,180,0
1615349702,357,0
1615353301,108,0
1615360501,308,1
1615364102,178,0
1615371301,289,0
1615374902,166,0
1615378502,171,0
1615383002,241,0
1615386603,147,0
1615390201,152,0
1615393802,158,0
1615397401,152,0
1615404602,259,0
1615411802,307,0
1615419002,241,0
1615426202,198,3664
1615433402,308,0
1615437002,113,0
1615440602,142,0
1615444202,142,0
1615448702,227,0
1615452302,163,0
1615455902,166,0
1615459502,206,0
1615463102,157,0
1615466702,196,0
1615470301,178,0
1615473902,188,0
1615477502,193,0
1615481102,145,0
1615488302,256,0
1615495502,296,0
1615502702,366,0
1615506302,102,0
1615509902,178,3621
1615513502,126,0
1615517101,140,0
1615520702,148,0
1615524302,131,0
1615527902,147,0
1615535102,378,0
1615538703,164,0
1615546803,388,0
1615550402,129,0
1615554002,210,0
1615557602,140,0
1615561203,167,0
1615564802,180,0
1615568402,142,0
1615572003,138,0
1615579202,299,0
1615586402,270,0
1615593602,215,3797
1615600802,252,0
1615604403,106,0
1615608003,98,0
1615611602,141,0
1615615203,101,0
1615622403,268,0
1615629602,253,0
1615633203,158,0
1615636803,103,0
1615640403,181,0
1615644002,142,0
1615647602,167,0
1615654803,267,0
1615658403,119,0
1615662902,159,0
1615666502,128,0
1615673702,202,0
1615677302,109,0
1615680901,63,3814
1615684502,138,0
1615690802,196,0
1615692602,81,0
1615696201,77,0
1615703402,184,0
1615707902,141,0
1615711502,120,0
1615715102,86,0
1615718702,204,0
1615722302,100,0
1615729501,195,0
1615736702,190,0
1615740302,152,0
1615743902,87,0
1615747503,131,0
1615751102,91,0
1615754702,71,0
1615758302,71,0
1615761902,80,0
1615765502,83,0
1615769102,87,3239
1615776301,231,0
1615779902,223,0
1615788002,313,0
1615791602,157,0
1615795202,122,0
1615798802,178,0
1615802402,183,0
1615806002,137,0
1615809602,154,0
1615813203,232,0
1615816802,129,0
1615824002,408,0
1615827602,165,0
1615831202,142,0
1615838403,253,0
1615845602,237,0
1615852803,195,2576
1615856402,124,0
1615860002,144,0
1615863602,193,0
1615867202,136,0
1615870802,117,0
1615878002,298,0
1615881602,140,0
1615885202,164,0
1615888802,235,0
1615896002,444,0
1615899603,319,0
1615903202,251,0
1615907701,301,0
1615911302,226,0
1615914902,112,0
1615922102,287,0
1615929301,250,0
1615936502,188,0
1615940102,79,3263
1615943702,110,0
1615947301,129,0
1615950902,121,0
1615954502,132,0
1615958102,134,0
1615961702,186,0
1615965301,160,0
1615968902,146,0
1615976102,270,0
1615979702,143,0
1615986903,347,0
1615991402,232,0
1615995002,145,0
1615998602,205,0
1616002202,132,0
1616009401,247,0
1616016602,258,0
1616023802,207,0
1616027402,71,3988
1616031001,106,0
1616034602,106,0
1616041802,285,0
1616045401,133,0
1616049902,198,0
1616053502,151,0
1616057102,154,0
1616060701,132,0
1616064302,181,0
1616067902,171,0
1616071502,157,0
1616075102,198,0
1616078701,142,0
1616085901,272,0
1616093102,225,0
1616100302,244,0
1616103901,152,0
1616107502,90,0
1616111102,124,0
1616114702,97,3579
1616118302,103,0
1616121902,97,0
1616125502,146,0
1616129102,87,0
1616132701,105,0
1616139902,393,0
1616143502,157,0
1616147101,187,0
1616151602,188,0
1616155202,126,0
1616158802,185,0
1616162403,189,0
1616166003,156,0
1616169602,158,0
1616173202,169,0
1616176802,108,0
1616180401,131,0
1616184002,155,0
1616187602,129,0
1616194802,229,0
1616202002,204,3267
1616209202,169,0
1616216403,267,0
1616223602,297,0
1616230803,237,0
1616238002,293,0
1616241602,169,0
1616245202,156,0
1616248803,114,0
1616252403,147,0
1616256002,113,0
1616259603,113,0
1616263202,126,0
1616266802,135,0
1616270402,127,0
1616274002,89,0
1616277603,94,0
1616281202,68,0
1616284802,76,3509
1616292002,195,0
1616295602,121,0
1616303702,213,0
1616307302,91,0
1616314502,212,0
1616321702,219,0
1616328902,187,0
1616336102,241,0
1616339702,105,0
1616343302,107,0
1616346901,89,0
1616350502,140,0
1616354102,97,0
1616357702,109,0
1616361301,111,0
1616364901,118,0
1616368502,99,0
1616375702,115,2896
1616377501,45,0
1616382002,140,0
1616385602,157,0
1616390102,128,0
1616393702,140,0
1616397302,130,0
1616400902,137,0
1616408102,342,0
1616415302,335,0
1616422502,375,0
1616426102,304,0
1616429702,162,0
1616433302,135,0
1616436902,157,0
1616440502,111,0
1616444102,196,0
1616447702,141,0
1616454902,243,0
1616458502,91,2531
1616465702,194,0
1616469302,80,0
1616476502,243,0
1616480102,112,0
1616484602,168,0
1616488202,97,0
1616491802,174,0
1616499001,383,0
1616506202,296,0
1616513402,393,0
1616520602,266,0
1616524202,177,0
1616527802,162,0
1616531402,104,0
1616535002,128,0
1616538602,141,0
1616545802,217,3428
1616549402,144,0
1616556602,241,0
1616560202,170,0
1616564701,142,0
1616568302,156,0
1616571901,158,0
1616575502,162,0
1616579102,163,0
1616582702,142,0
1616586302,187,0
1616589902,178,0
1616593502,158,0
1616597101,208,0
1616600702,213,0
1616604302,174,0
1616607902,131,0
1616611501,141,0
1616615102,107,0
1616618702,191,0
1616622302,131,0
1616625902,144,0
1616629502,114,0
1616633102,144,3264
1616636702,107,0
1616640302,123,0
1616643902,138,0
1616647501,186,0
1616651102,132,0
1616654702,138,0
1616661902,294,0
1616665502,141,0
1616669102,202,0
1616672702,252,0
1616679902,390,0
1616683502,164,0
1616688002,189,0
1616691602,134,0
1616695203,156,0
1616698802,124,0
1616706002,236,0
1616709602,143,0
1616713202,90,0
1616716803,115,3545
1616720402,134,0
1616727602,268,0
1616734803,273,0
1616742002,293,0
1616749202,308,0
1616756402,283,0
1616763602,408,0
1616770802,290,0
1616774402,149,0
1616778003,140,0
1616781602,117,0
1616785202,78,0
1616792402,287,0
1616799602,210,0
1616803202,111,3595
1616810403,238,0
1616814003,84,0
1616821202,163,0
1616824802,230,0
1616829302,157,0
1616832902,143,0
1616836501,118,0
1616840102,140,0
